year,Orvis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,8
1909,0
1910,8
1911,0
1912,12
1913,15
1914,31
1915,24
1916,38
1917,18
1918,19
1919,42
1920,44
1921,41
1922,34
1923,23
1924,32
1925,30
1926,31
1927,33
1928,24
1929,23
1930,20
1931,20
1932,15
1933,21
1934,30
1935,15
1936,20
1937,23
1938,18
1939,14
1940,24
1941,14
1942,14
1943,17
1944,14
1945,8
1946,12
1947,9
1948,10
1949,9
1950,9
1951,6
1952,10
1953,10
1954,0
1955,8
1956,0
1957,0
1958,0
1959,9
1960,8
1961,7
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
