year,Ottis (F),Ottis (M)
1880,0.000000,0.000030
1881,0.000000,0.000047
1882,0.000000,0.000000
1883,0.000000,0.000032
1884,0.000000,0.000037
1885,0.000000,0.000025
1886,0.000000,0.000000
1887,0.000000,0.000044
1888,0.000000,0.000023
1889,0.000000,0.000000
1890,0.000000,0.000033
1891,0.000000,0.000000
1892,0.000000,0.000030
1893,0.000000,0.000043
1894,0.000000,0.000032
1895,0.000000,0.000031
1896,0.000000,0.000034
1897,0.000000,0.000026
1898,0.000013,0.000021
1899,0.000018,0.000050
1900,0.000011,0.000018
1901,0.000000,0.000014
1902,0.000000,0.000041
1903,0.000000,0.000055
1904,0.000000,0.000042
1905,0.000012,0.000040
1906,0.000000,0.000028
1907,0.000015,0.000030
1908,0.000000,0.000041
1909,0.000000,0.000041
1910,0.000008,0.000034
1911,0.000009,0.000028
1912,0.000005,0.000047
1913,0.000010,0.000047
1914,0.000004,0.000044
1915,0.000005,0.000052
1916,0.000005,0.000053
1917,0.000005,0.000053
1918,0.000005,0.000048
1919,0.000004,0.000053
1920,0.000000,0.000057
1921,0.000004,0.000049
1922,0.000003,0.000054
1923,0.000000,0.000046
1924,0.000004,0.000039
1925,0.000000,0.000047
1926,0.000002,0.000041
1927,0.000003,0.000045
1928,0.000000,0.000044
1929,0.000005,0.000047
1930,0.000000,0.000036
1931,0.000003,0.000044
1932,0.000000,0.000038
1933,0.000000,0.000035
1934,0.000000,0.000031
1935,0.000000,0.000041
1936,0.000003,0.000035
1937,0.000000,0.000032
1938,0.000000,0.000036
1939,0.000000,0.000021
1940,0.000000,0.000025
1941,0.000000,0.000027
1942,0.000000,0.000024
1943,0.000000,0.000024
1944,0.000000,0.000022
1945,0.000000,0.000021
1946,0.000000,0.000015
1947,0.000000,0.000012
1948,0.000000,0.000014
1949,0.000000,0.000015
1950,0.000000,0.000011
1951,0.000000,0.000014
1952,0.000000,0.000007
1953,0.000000,0.000009
1954,0.000000,0.000010
1955,0.000000,0.000008
1956,0.000000,0.000008
1957,0.000000,0.000008
1958,0.000000,0.000008
1959,0.000000,0.000010
1960,0.000000,0.000004
1961,0.000000,0.000007
1962,0.000000,0.000006
1963,0.000000,0.000006
1964,0.000000,0.000004
1965,0.000000,0.000007
1966,0.000000,0.000007
1967,0.000000,0.000006
1968,0.000000,0.000006
1969,0.000000,0.000006
1970,0.000000,0.000004
1971,0.000000,0.000009
1972,0.000000,0.000005
1973,0.000000,0.000006
1974,0.000000,0.000004
1975,0.000000,0.000005
1976,0.000000,0.000006
1977,0.000000,0.000006
1978,0.000000,0.000005
1979,0.000000,0.000003
1980,0.000000,0.000004
1981,0.000000,0.000004
1982,0.000000,0.000004
1983,0.000000,0.000002
1984,0.000000,0.000003
1985,0.000000,0.000001
1986,0.000000,0.000002
1987,0.000000,0.000004
1988,0.000000,0.000002
1989,0.000000,0.000000
1990,0.000000,0.000002
1991,0.000000,0.000004
1992,0.000000,0.000002
1993,0.000000,0.000000
1994,0.000000,0.000001
1995,0.000000,0.000002
1996,0.000000,0.000000
1997,0.000000,0.000001
1998,0.000000,0.000002
1999,0.000000,0.000001
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000002
2003,0.000000,0.000001
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000001
2009,0.000000,0.000000
2010,0.000000,0.000002
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000002
2014,0.000000,0.000001
2015,0.000000,0.000000
2016,0.000000,0.000003
2017,0.000000,0.000002
2018,0.000000,0.000003
2019,0.000000,0.000002
2020,0.000000,0.000002
