year,Olive (F),Olive (M)
1880,0.001112,0.000000
1881,0.001095,0.000000
1882,0.001314,0.000000
1883,0.001355,0.000000
1884,0.001479,0.000000
1885,0.001449,0.000021
1886,0.001582,0.000000
1887,0.001593,0.000000
1888,0.001553,0.000000
1889,0.001606,0.000017
1890,0.001629,0.000000
1891,0.001776,0.000021
1892,0.001743,0.000021
1893,0.001811,0.000000
1894,0.001739,0.000000
1895,0.001644,0.000000
1896,0.001631,0.000000
1897,0.001680,0.000000
1898,0.001688,0.000000
1899,0.001665,0.000015
1900,0.001565,0.000016
1901,0.001559,0.000000
1902,0.001533,0.000000
1903,0.001566,0.000016
1904,0.001420,0.000000
1905,0.001411,0.000014
1906,0.001309,0.000014
1907,0.001220,0.000000
1908,0.001326,0.000000
1909,0.001262,0.000012
1910,0.001094,0.000014
1911,0.001085,0.000011
1912,0.000885,0.000014
1913,0.000874,0.000004
1914,0.000847,0.000006
1915,0.000903,0.000007
1916,0.000835,0.000004
1917,0.000780,0.000005
1918,0.000745,0.000008
1919,0.000705,0.000005
1920,0.000686,0.000005
1921,0.000671,0.000009
1922,0.000578,0.000006
1923,0.000531,0.000003
1924,0.000444,0.000000
1925,0.000419,0.000003
1926,0.000379,0.000003
1927,0.000379,0.000005
1928,0.000349,0.000004
1929,0.000297,0.000000
1930,0.000242,0.000005
1931,0.000244,0.000006
1932,0.000229,0.000003
1933,0.000194,0.000006
1934,0.000158,0.000003
1935,0.000141,0.000000
1936,0.000133,0.000004
1937,0.000118,0.000004
1938,0.000106,0.000003
1939,0.000106,0.000000
1940,0.000073,0.000000
1941,0.000085,0.000000
1942,0.000066,0.000000
1943,0.000072,0.000002
1944,0.000041,0.000000
1945,0.000051,0.000002
1946,0.000039,0.000000
1947,0.000027,0.000000
1948,0.000035,0.000002
1949,0.000028,0.000000
1950,0.000028,0.000000
1951,0.000018,0.000000
1952,0.000021,0.000000
1953,0.000019,0.000000
1954,0.000015,0.000000
1955,0.000013,0.000000
1956,0.000014,0.000000
1957,0.000013,0.000001
1958,0.000009,0.000000
1959,0.000010,0.000000
1960,0.000012,0.000000
1961,0.000006,0.000000
1962,0.000009,0.000000
1963,0.000007,0.000000
1964,0.000006,0.000000
1965,0.000006,0.000000
1966,0.000006,0.000000
1967,0.000006,0.000000
1968,0.000005,0.000000
1969,0.000005,0.000000
1970,0.000005,0.000000
1971,0.000003,0.000000
1972,0.000004,0.000000
1973,0.000003,0.000000
1974,0.000006,0.000000
1975,0.000005,0.000000
1976,0.000004,0.000000
1977,0.000003,0.000000
1978,0.000003,0.000000
1979,0.000004,0.000000
1980,0.000004,0.000000
1981,0.000002,0.000000
1982,0.000002,0.000000
1983,0.000003,0.000000
1984,0.000002,0.000000
1985,0.000004,0.000000
1986,0.000003,0.000000
1987,0.000002,0.000000
1988,0.000002,0.000000
1989,0.000003,0.000000
1990,0.000003,0.000000
1991,0.000002,0.000000
1992,0.000004,0.000000
1993,0.000004,0.000000
1994,0.000002,0.000000
1995,0.000003,0.000000
1996,0.000004,0.000000
1997,0.000004,0.000000
1998,0.000005,0.000000
1999,0.000006,0.000000
2000,0.000009,0.000000
2001,0.000010,0.000000
2002,0.000012,0.000000
2003,0.000013,0.000000
2004,0.000013,0.000000
2005,0.000023,0.000000
2006,0.000029,0.000000
2007,0.000068,0.000000
2008,0.000091,0.000000
2009,0.000134,0.000000
2010,0.000146,0.000001
2011,0.000209,0.000000
2012,0.000236,0.000000
