year,Oleta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,7
1893,0
1894,0
1895,0
1896,10
1897,6
1898,0
1899,0
1900,12
1901,13
1902,9
1903,12
1904,14
1905,19
1906,16
1907,18
1908,32
1909,53
1910,55
1911,82
1912,110
1913,133
1914,161
1915,207
1916,204
1917,206
1918,186
1919,189
1920,216
1921,208
1922,187
1923,173
1924,174
1925,151
1926,147
1927,158
1928,143
1929,117
1930,111
1931,123
1932,113
1933,116
1934,112
1935,92
1936,87
1937,69
1938,88
1939,77
1940,73
1941,60
1942,69
1943,70
1944,59
1945,43
1946,39
1947,35
1948,44
1949,31
1950,26
1951,37
1952,19
1953,25
1954,27
1955,30
1956,28
1957,27
1958,24
1959,22
1960,23
1961,13
1962,11
1963,16
1964,18
1965,9
1966,15
1967,5
1968,17
1969,10
1970,8
1971,7
1972,12
1973,5
1974,8
1975,8
1976,6
1977,7
1978,5
1979,8
1980,7
1981,7
1982,0
1983,8
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,10
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
