year,Otelia
1880,7
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,15
1891,10
1892,0
1893,6
1894,7
1895,10
1896,9
1897,14
1898,7
1899,5
1900,17
1901,7
1902,13
1903,9
1904,16
1905,20
1906,12
1907,25
1908,11
1909,16
1910,15
1911,17
1912,28
1913,19
1914,17
1915,22
1916,25
1917,31
1918,28
1919,33
1920,23
1921,27
1922,24
1923,35
1924,29
1925,32
1926,18
1927,19
1928,24
1929,18
1930,18
1931,19
1932,20
1933,21
1934,12
1935,21
1936,16
1937,13
1938,13
1939,10
1940,16
1941,16
1942,8
1943,18
1944,15
1945,9
1946,8
1947,15
1948,14
1949,12
1950,15
1951,10
1952,9
1953,6
1954,10
1955,14
1956,5
1957,11
1958,0
1959,7
1960,8
1961,10
1962,6
1963,9
1964,6
1965,5
1966,9
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,8
1980,0
1981,0
1982,7
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
