year,Olean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,6
1905,8
1906,7
1907,7
1908,9
1909,5
1910,11
1911,8
1912,14
1913,8
1914,21
1915,27
1916,16
1917,22
1918,31
1919,35
1920,29
1921,36
1922,36
1923,24
1924,30
1925,27
1926,39
1927,28
1928,30
1929,34
1930,21
1931,19
1932,25
1933,32
1934,22
1935,18
1936,15
1937,15
1938,8
1939,9
1940,10
1941,11
1942,12
1943,13
1944,20
1945,0
1946,8
1947,14
1948,8
1949,5
1950,6
1951,0
1952,5
1953,7
1954,0
1955,6
1956,5
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
