year,Otis (F),Otis (M)
1880,0.000000,0.000437
1881,0.000000,0.000462
1882,0.000000,0.000524
1883,0.000000,0.000410
1884,0.000000,0.000439
1885,0.000000,0.000370
1886,0.000000,0.000388
1887,0.000000,0.000392
1888,0.000000,0.000387
1889,0.000017,0.000401
1890,0.000000,0.000395
1891,0.000000,0.000338
1892,0.000021,0.000377
1893,0.000000,0.000381
1894,0.000000,0.000381
1895,0.000000,0.000379
1896,0.000000,0.000347
1897,0.000026,0.000383
1898,0.000021,0.000469
1899,0.000021,0.000545
1900,0.000033,0.000471
1901,0.000000,0.000367
1902,0.000026,0.000437
1903,0.000013,0.000441
1904,0.000015,0.000449
1905,0.000012,0.000510
1906,0.000016,0.000429
1907,0.000015,0.000428
1908,0.000016,0.000497
1909,0.000018,0.000522
1910,0.000032,0.000482
1911,0.000014,0.000469
1912,0.000013,0.000528
1913,0.000012,0.000490
1914,0.000009,0.000501
1915,0.000009,0.000492
1916,0.000011,0.000469
1917,0.000007,0.000454
1918,0.000004,0.000431
1919,0.000009,0.000441
1920,0.000011,0.000456
1921,0.000012,0.000429
1922,0.000008,0.000432
1923,0.000006,0.000393
1924,0.000008,0.000424
1925,0.000006,0.000411
1926,0.000007,0.000382
1927,0.000014,0.000388
1928,0.000008,0.000391
1929,0.000008,0.000363
1930,0.000007,0.000374
1931,0.000007,0.000347
1932,0.000007,0.000385
1933,0.000007,0.000378
1934,0.000007,0.000371
1935,0.000006,0.000348
1936,0.000005,0.000337
1937,0.000007,0.000320
1938,0.000004,0.000325
1939,0.000004,0.000331
1940,0.000003,0.000288
1941,0.000004,0.000302
1942,0.000004,0.000270
1943,0.000005,0.000263
1944,0.000003,0.000282
1945,0.000004,0.000266
1946,0.000004,0.000244
1947,0.000004,0.000242
1948,0.000003,0.000245
1949,0.000003,0.000234
1950,0.000003,0.000237
1951,0.000000,0.000223
1952,0.000002,0.000197
1953,0.000002,0.000199
1954,0.000002,0.000189
1955,0.000003,0.000180
1956,0.000003,0.000171
1957,0.000001,0.000157
1958,0.000001,0.000160
1959,0.000001,0.000149
1960,0.000002,0.000134
1961,0.000003,0.000131
1962,0.000002,0.000118
1963,0.000002,0.000129
1964,0.000003,0.000137
1965,0.000000,0.000130
1966,0.000002,0.000121
1967,0.000002,0.000122
1968,0.000003,0.000148
1969,0.000002,0.000153
1970,0.000002,0.000138
1971,0.000002,0.000121
1972,0.000002,0.000121
1973,0.000003,0.000123
1974,0.000000,0.000102
1975,0.000000,0.000109
1976,0.000002,0.000106
1977,0.000000,0.000095
1978,0.000000,0.000094
1979,0.000000,0.000099
1980,0.000000,0.000086
1981,0.000000,0.000078
1982,0.000000,0.000072
1983,0.000000,0.000059
1984,0.000000,0.000062
1985,0.000000,0.000057
1986,0.000000,0.000060
1987,0.000000,0.000054
1988,0.000000,0.000052
1989,0.000000,0.000050
1990,0.000000,0.000054
1991,0.000000,0.000047
1992,0.000000,0.000040
1993,0.000000,0.000040
1994,0.000000,0.000037
1995,0.000000,0.000031
1996,0.000000,0.000032
1997,0.000000,0.000031
1998,0.000000,0.000028
1999,0.000000,0.000023
2000,0.000000,0.000026
2001,0.000000,0.000031
2002,0.000000,0.000022
2003,0.000000,0.000021
2004,0.000000,0.000021
2005,0.000000,0.000028
2006,0.000000,0.000027
2007,0.000000,0.000028
2008,0.000000,0.000031
2009,0.000000,0.000034
2010,0.000000,0.000033
2011,0.000000,0.000039
2012,0.000000,0.000050
2013,0.000000,0.000049
2014,0.000000,0.000055
2015,0.000000,0.000072
2016,0.000000,0.000088
2017,0.000000,0.000089
2018,0.000000,0.000092
2019,0.000000,0.000101
2020,0.000000,0.000124
