year,Orman
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,0
1911,0
1912,12
1913,15
1914,17
1915,34
1916,20
1917,18
1918,21
1919,25
1920,26
1921,31
1922,23
1923,38
1924,25
1925,19
1926,26
1927,25
1928,21
1929,24
1930,20
1931,20
1932,19
1933,10
1934,26
1935,23
1936,12
1937,17
1938,7
1939,21
1940,15
1941,13
1942,18
1943,21
1944,10
1945,15
1946,11
1947,15
1948,14
1949,13
1950,11
1951,14
1952,12
1953,5
1954,12
1955,6
1956,6
1957,0
1958,6
1959,7
1960,5
1961,5
1962,0
1963,8
1964,0
1965,0
1966,0
1967,8
1968,0
1969,7
1970,7
1971,0
1972,0
1973,8
1974,0
1975,0
1976,0
1977,7
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,7
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
