year,Orvel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,9
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,5
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,9
1905,0
1906,6
1907,7
1908,0
1909,9
1910,0
1911,9
1912,18
1913,27
1914,25
1915,30
1916,34
1917,33
1918,39
1919,56
1920,32
1921,40
1922,39
1923,39
1924,45
1925,31
1926,24
1927,35
1928,27
1929,34
1930,29
1931,21
1932,14
1933,29
1934,26
1935,35
1936,17
1937,25
1938,14
1939,18
1940,16
1941,12
1942,24
1943,20
1944,17
1945,8
1946,10
1947,17
1948,11
1949,8
1950,9
1951,11
1952,10
1953,6
1954,6
1955,11
1956,8
1957,7
1958,9
1959,0
1960,7
1961,5
1962,7
1963,10
1964,0
1965,5
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,7
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
