year,Olaf (F),Olaf (M)
1880,0.000000,0.000055
1881,0.000000,0.000036
1882,0.000000,0.000059
1883,0.000000,0.000078
1884,0.000000,0.000082
1885,0.000000,0.000087
1886,0.000000,0.000067
1887,0.000000,0.000057
1888,0.000000,0.000040
1889,0.000000,0.000059
1890,0.000000,0.000046
1891,0.000000,0.000052
1892,0.000000,0.000036
1893,0.000000,0.000025
1894,0.000000,0.000047
1895,0.000000,0.000031
1896,0.000000,0.000036
1897,0.000000,0.000037
1898,0.000000,0.000034
1899,0.000000,0.000027
1900,0.000000,0.000018
1901,0.000000,0.000026
1902,0.000000,0.000031
1903,0.000000,0.000024
1904,0.000000,0.000020
1905,0.000000,0.000019
1906,0.000000,0.000044
1907,0.000000,0.000045
1908,0.000000,0.000047
1909,0.000000,0.000018
1910,0.000000,0.000024
1911,0.000000,0.000020
1912,0.000000,0.000040
1913,0.000000,0.000040
1914,0.000000,0.000039
1915,0.000000,0.000039
1916,0.000000,0.000041
1917,0.000000,0.000037
1918,0.000000,0.000028
1919,0.000000,0.000023
1920,0.000000,0.000019
1921,0.000000,0.000021
1922,0.000000,0.000014
1923,0.000000,0.000015
1924,0.000000,0.000013
1925,0.000000,0.000016
1926,0.000000,0.000015
1927,0.000000,0.000015
1928,0.000000,0.000015
1929,0.000000,0.000011
1930,0.000000,0.000014
1931,0.000000,0.000011
1932,0.000000,0.000009
1933,0.000000,0.000010
1934,0.000000,0.000007
1935,0.000000,0.000009
1936,0.000000,0.000008
1937,0.000000,0.000005
1938,0.000000,0.000007
1939,0.000000,0.000010
1940,0.000000,0.000006
1941,0.000000,0.000007
1942,0.000000,0.000004
1943,0.000000,0.000006
1944,0.000000,0.000005
1945,0.000000,0.000006
1946,0.000000,0.000006
1947,0.000000,0.000002
1948,0.000000,0.000004
1949,0.000000,0.000004
1950,0.000000,0.000003
1951,0.000000,0.000003
1952,0.000000,0.000004
1953,0.000000,0.000004
1954,0.000000,0.000003
1955,0.000000,0.000004
1956,0.000000,0.000003
1957,0.000000,0.000004
1958,0.000000,0.000002
1959,0.000000,0.000005
1960,0.000000,0.000004
1961,0.000000,0.000003
1962,0.000000,0.000004
1963,0.000000,0.000004
1964,0.000000,0.000006
1965,0.000000,0.000004
1966,0.000000,0.000005
1967,0.000000,0.000005
1968,0.000000,0.000006
1969,0.000000,0.000005
1970,0.000000,0.000006
1971,0.000000,0.000006
1972,0.000000,0.000004
1973,0.000000,0.000006
1974,0.000000,0.000002
1975,0.000000,0.000007
1976,0.000000,0.000002
1977,0.000000,0.000005
1978,0.000000,0.000003
1979,0.000000,0.000004
1980,0.000000,0.000004
1981,0.000000,0.000002
1982,0.000000,0.000003
1983,0.000000,0.000001
1984,0.000000,0.000002
1985,0.000000,0.000001
1986,0.000000,0.000003
1987,0.000000,0.000002
1988,0.000000,0.000003
1989,0.000000,0.000000
1990,0.000000,0.000002
1991,0.000000,0.000005
1992,0.000000,0.000002
1993,0.000000,0.000002
1994,0.000000,0.000003
1995,0.000000,0.000002
1996,0.000000,0.000003
1997,0.000000,0.000002
1998,0.000000,0.000002
1999,0.000000,0.000002
2000,0.000000,0.000002
2001,0.000000,0.000003
2002,0.000000,0.000003
2003,0.000000,0.000003
2004,0.000000,0.000002
2005,0.000000,0.000005
2006,0.000000,0.000005
2007,0.000000,0.000003
2008,0.000000,0.000006
2009,0.000000,0.000004
2010,0.000000,0.000005
2011,0.000000,0.000004
2012,0.000000,0.000004
2013,0.000000,0.000002
