year,Otho (F),Otho (M)
1880,0.000000,0.000089
1881,0.000000,0.000135
1882,0.000000,0.000113
1883,0.000000,0.000101
1884,0.000000,0.000070
1885,0.000000,0.000075
1886,0.000000,0.000082
1887,0.000000,0.000109
1888,0.000000,0.000077
1889,0.000000,0.000059
1890,0.000000,0.000046
1891,0.000000,0.000056
1892,0.000000,0.000066
1893,0.000000,0.000058
1894,0.000000,0.000053
1895,0.000000,0.000043
1896,0.000000,0.000064
1897,0.000000,0.000052
1898,0.000000,0.000039
1899,0.000000,0.000050
1900,0.000000,0.000047
1901,0.000000,0.000069
1902,0.000000,0.000093
1903,0.000000,0.000047
1904,0.000000,0.000057
1905,0.000000,0.000061
1906,0.000000,0.000047
1907,0.000000,0.000037
1908,0.000000,0.000061
1909,0.000000,0.000051
1910,0.000000,0.000052
1911,0.000000,0.000050
1912,0.000000,0.000067
1913,0.000000,0.000057
1914,0.000000,0.000058
1915,0.000000,0.000059
1916,0.000000,0.000045
1917,0.000000,0.000052
1918,0.000000,0.000041
1919,0.000000,0.000042
1920,0.000000,0.000036
1921,0.000000,0.000043
1922,0.000000,0.000045
1923,0.000000,0.000027
1924,0.000000,0.000041
1925,0.000000,0.000033
1926,0.000000,0.000031
1927,0.000000,0.000028
1928,0.000000,0.000027
1929,0.000000,0.000028
1930,0.000000,0.000022
1931,0.000000,0.000026
1932,0.000000,0.000025
1933,0.000000,0.000026
1934,0.000000,0.000021
1935,0.000000,0.000022
1936,0.000000,0.000022
1937,0.000000,0.000017
1938,0.000000,0.000021
1939,0.000000,0.000020
1940,0.000000,0.000011
1941,0.000000,0.000018
1942,0.000000,0.000008
1943,0.000000,0.000015
1944,0.000000,0.000009
1945,0.000000,0.000011
1946,0.000000,0.000005
1947,0.000000,0.000008
1948,0.000000,0.000008
1949,0.000000,0.000008
1950,0.000000,0.000005
1951,0.000000,0.000006
1952,0.000000,0.000006
1953,0.000000,0.000006
1954,0.000000,0.000003
1955,0.000000,0.000004
1956,0.000000,0.000005
1957,0.000000,0.000004
1958,0.000000,0.000003
1959,0.000000,0.000004
1960,0.000000,0.000005
1961,0.000000,0.000003
1962,0.000000,0.000004
1963,0.000000,0.000003
1964,0.000000,0.000004
1965,0.000000,0.000004
1966,0.000000,0.000001
1967,0.000000,0.000003
1968,0.000000,0.000001
1969,0.000000,0.000002
1970,0.000000,0.000003
1971,0.000000,0.000003
1972,0.000000,0.000002
1973,0.000000,0.000003
1974,0.000000,0.000003
1975,0.000000,0.000002
1976,0.000000,0.000002
1977,0.000000,0.000004
1978,0.000000,0.000000
1979,0.000000,0.000002
1980,0.000000,0.000002
1981,0.000000,0.000001
1982,0.000000,0.000000
1983,0.000000,0.000000
1984,0.000000,0.000001
1985,0.000000,0.000000
1986,0.000000,0.000001
1987,0.000000,0.000000
1988,0.000000,0.000000
1989,0.000000,0.000000
1990,0.000000,0.000000
1991,0.000000,0.000001
1992,0.000000,0.000000
1993,0.000000,0.000000
1994,0.000000,0.000000
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
2014,0.000000,0.000000
2015,0.000000,0.000000
2016,0.000000,0.000000
2017,0.000000,0.000000
2018,0.000000,0.000000
2019,0.000000,0.000000
2020,0.000000,0.000000
