year,Orson
1880,7
1881,7
1882,9
1883,12
1884,6
1885,6
1886,5
1887,6
1888,7
1889,0
1890,0
1891,5
1892,7
1893,0
1894,0
1895,7
1896,8
1897,0
1898,7
1899,5
1900,0
1901,7
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,7
1911,8
1912,10
1913,25
1914,15
1915,24
1916,21
1917,22
1918,23
1919,29
1920,18
1921,11
1922,21
1923,26
1924,26
1925,19
1926,18
1927,9
1928,15
1929,16
1930,13
1931,17
1932,11
1933,12
1934,16
1935,8
1936,13
1937,11
1938,9
1939,16
1940,22
1941,13
1942,7
1943,9
1944,18
1945,16
1946,18
1947,14
1948,8
1949,12
1950,15
1951,13
1952,13
1953,11
1954,14
1955,8
1956,19
1957,17
1958,22
1959,8
1960,8
1961,10
1962,11
1963,17
1964,6
1965,14
1966,13
1967,8
1968,9
1969,15
1970,24
1971,19
1972,8
1973,9
1974,19
1975,14
1976,18
1977,11
1978,12
1979,12
1980,13
1981,12
1982,9
1983,10
1984,0
1985,7
1986,11
1987,7
1988,14
1989,6
1990,7
1991,9
1992,0
1993,0
1994,8
1995,7
1996,8
1997,7
1998,7
1999,8
2000,8
2001,9
2002,12
2003,11
2004,7
2005,13
2006,14
2007,23
2008,18
2009,23
2010,28
2011,33
2012,31
