year,Oletha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,8
1905,0
1906,8
1907,10
1908,0
1909,8
1910,14
1911,10
1912,12
1913,22
1914,20
1915,31
1916,25
1917,33
1918,34
1919,37
1920,32
1921,36
1922,33
1923,41
1924,30
1925,39
1926,38
1927,25
1928,33
1929,22
1930,27
1931,29
1932,25
1933,22
1934,23
1935,21
1936,11
1937,14
1938,21
1939,12
1940,10
1941,14
1942,11
1943,15
1944,15
1945,12
1946,8
1947,5
1948,9
1949,14
1950,0
1951,11
1952,14
1953,12
1954,9
1955,8
1956,7
1957,12
1958,8
1959,14
1960,6
1961,18
1962,5
1963,14
1964,9
1965,7
1966,11
1967,14
1968,6
1969,13
1970,10
1971,13
1972,13
1973,10
1974,10
1975,7
1976,0
1977,6
1978,9
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
