year,Odell (F),Odell (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000037
1884,0.000000,0.000029
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000023
1889,0.000024,0.000024
1890,0.000000,0.000030
1891,0.000000,0.000000
1892,0.000030,0.000018
1893,0.000000,0.000000
1894,0.000000,0.000021
1895,0.000014,0.000020
1896,0.000036,0.000000
1897,0.000032,0.000037
1898,0.000031,0.000026
1899,0.000029,0.000035
1900,0.000064,0.000064
1901,0.000046,0.000055
1902,0.000049,0.000078
1903,0.000037,0.000079
1904,0.000072,0.000084
1905,0.000075,0.000071
1906,0.000100,0.000112
1907,0.000095,0.000082
1908,0.000092,0.000106
1909,0.000102,0.000096
1910,0.000122,0.000096
1911,0.000096,0.000118
1912,0.000080,0.000113
1913,0.000076,0.000115
1914,0.000086,0.000127
1915,0.000068,0.000129
1916,0.000082,0.000123
1917,0.000075,0.000129
1918,0.000061,0.000117
1919,0.000072,0.000145
1920,0.000069,0.000148
1921,0.000073,0.000139
1922,0.000073,0.000161
1923,0.000065,0.000129
1924,0.000060,0.000117
1925,0.000063,0.000134
1926,0.000054,0.000110
1927,0.000050,0.000129
1928,0.000042,0.000122
1929,0.000047,0.000133
1930,0.000044,0.000120
1931,0.000037,0.000126
1932,0.000040,0.000142
1933,0.000033,0.000121
1934,0.000027,0.000123
1935,0.000034,0.000120
1936,0.000023,0.000105
1937,0.000023,0.000100
1938,0.000015,0.000106
1939,0.000019,0.000097
1940,0.000015,0.000090
1941,0.000015,0.000081
1942,0.000014,0.000075
1943,0.000009,0.000078
1944,0.000016,0.000074
1945,0.000012,0.000077
1946,0.000010,0.000066
1947,0.000008,0.000063
1948,0.000008,0.000064
1949,0.000010,0.000063
1950,0.000006,0.000055
1951,0.000007,0.000052
1952,0.000008,0.000052
1953,0.000008,0.000051
1954,0.000006,0.000044
1955,0.000004,0.000047
1956,0.000004,0.000038
1957,0.000003,0.000040
1958,0.000004,0.000039
1959,0.000003,0.000033
1960,0.000002,0.000034
1961,0.000002,0.000030
1962,0.000004,0.000028
1963,0.000006,0.000022
1964,0.000002,0.000028
1965,0.000000,0.000025
1966,0.000000,0.000023
1967,0.000002,0.000025
1968,0.000000,0.000032
1969,0.000001,0.000023
1970,0.000000,0.000028
1971,0.000002,0.000027
1972,0.000000,0.000029
1973,0.000002,0.000028
1974,0.000000,0.000020
1975,0.000000,0.000020
1976,0.000000,0.000019
1977,0.000000,0.000019
1978,0.000000,0.000018
1979,0.000000,0.000017
1980,0.000000,0.000017
1981,0.000000,0.000018
1982,0.000000,0.000018
1983,0.000000,0.000017
1984,0.000000,0.000013
1985,0.000000,0.000014
1986,0.000000,0.000012
1987,0.000000,0.000012
1988,0.000000,0.000011
1989,0.000000,0.000012
1990,0.000000,0.000012
1991,0.000000,0.000014
1992,0.000000,0.000012
1993,0.000000,0.000010
1994,0.000000,0.000010
1995,0.000000,0.000008
1996,0.000000,0.000009
1997,0.000000,0.000007
1998,0.000000,0.000007
1999,0.000000,0.000008
2000,0.000000,0.000005
2001,0.000000,0.000005
2002,0.000000,0.000006
2003,0.000000,0.000005
2004,0.000000,0.000005
2005,0.000000,0.000004
2006,0.000000,0.000006
2007,0.000000,0.000006
2008,0.000000,0.000006
2009,0.000000,0.000003
2010,0.000000,0.000004
2011,0.000000,0.000004
2012,0.000000,0.000004
