year,Olin (F),Olin (M)
1880,0.000000,0.000055
1881,0.000000,0.000062
1882,0.000000,0.000050
1883,0.000000,0.000083
1884,0.000000,0.000090
1885,0.000000,0.000075
1886,0.000000,0.000035
1887,0.000000,0.000057
1888,0.000000,0.000063
1889,0.000000,0.000062
1890,0.000000,0.000050
1891,0.000000,0.000056
1892,0.000000,0.000099
1893,0.000000,0.000055
1894,0.000000,0.000050
1895,0.000000,0.000054
1896,0.000000,0.000073
1897,0.000000,0.000066
1898,0.000000,0.000079
1899,0.000000,0.000053
1900,0.000000,0.000056
1901,0.000000,0.000052
1902,0.000000,0.000065
1903,0.000000,0.000089
1904,0.000000,0.000047
1905,0.000000,0.000059
1906,0.000000,0.000061
1907,0.000000,0.000060
1908,0.000000,0.000065
1909,0.000000,0.000067
1910,0.000000,0.000080
1911,0.000000,0.000056
1912,0.000000,0.000081
1913,0.000000,0.000095
1914,0.000000,0.000077
1915,0.000000,0.000083
1916,0.000000,0.000085
1917,0.000000,0.000073
1918,0.000000,0.000081
1919,0.000000,0.000079
1920,0.000000,0.000083
1921,0.000000,0.000084
1922,0.000000,0.000080
1923,0.000000,0.000073
1924,0.000000,0.000061
1925,0.000000,0.000060
1926,0.000002,0.000055
1927,0.000000,0.000057
1928,0.000000,0.000053
1929,0.000000,0.000062
1930,0.000000,0.000069
1931,0.000000,0.000060
1932,0.000000,0.000054
1933,0.000000,0.000054
1934,0.000000,0.000090
1935,0.000000,0.000084
1936,0.000000,0.000079
1937,0.000000,0.000065
1938,0.000000,0.000062
1939,0.000000,0.000055
1940,0.000000,0.000041
1941,0.000000,0.000044
1942,0.000000,0.000036
1943,0.000000,0.000040
1944,0.000000,0.000032
1945,0.000000,0.000030
1946,0.000000,0.000028
1947,0.000000,0.000033
1948,0.000000,0.000022
1949,0.000000,0.000022
1950,0.000000,0.000021
1951,0.000000,0.000021
1952,0.000000,0.000022
1953,0.000000,0.000024
1954,0.000000,0.000018
1955,0.000000,0.000020
1956,0.000000,0.000016
1957,0.000000,0.000015
1958,0.000000,0.000015
1959,0.000000,0.000015
1960,0.000000,0.000013
1961,0.000000,0.000014
1962,0.000000,0.000019
1963,0.000000,0.000011
1964,0.000000,0.000015
1965,0.000000,0.000012
1966,0.000000,0.000014
1967,0.000000,0.000011
1968,0.000000,0.000015
1969,0.000000,0.000015
1970,0.000000,0.000013
1971,0.000000,0.000013
1972,0.000000,0.000012
1973,0.000000,0.000011
1974,0.000000,0.000009
1975,0.000000,0.000014
1976,0.000000,0.000010
1977,0.000000,0.000013
1978,0.000000,0.000016
1979,0.000000,0.000011
1980,0.000000,0.000012
1981,0.000000,0.000009
1982,0.000000,0.000010
1983,0.000000,0.000012
1984,0.000000,0.000009
1985,0.000000,0.000008
1986,0.000000,0.000009
1987,0.000000,0.000012
1988,0.000000,0.000008
1989,0.000000,0.000008
1990,0.000000,0.000007
1991,0.000000,0.000005
1992,0.000000,0.000007
1993,0.000000,0.000008
1994,0.000000,0.000008
1995,0.000000,0.000009
1996,0.000000,0.000006
1997,0.000000,0.000009
1998,0.000000,0.000008
1999,0.000000,0.000008
2000,0.000000,0.000008
2001,0.000000,0.000011
2002,0.000000,0.000010
2003,0.000000,0.000010
2004,0.000000,0.000013
2005,0.000000,0.000014
2006,0.000000,0.000014
2007,0.000000,0.000017
2008,0.000000,0.000015
2009,0.000000,0.000018
2010,0.000000,0.000020
2011,0.000000,0.000022
2012,0.000000,0.000022
2013,0.000000,0.000018
