year,Orval (F),Orval (M)
1880,0.000000,0.000109
1881,0.000000,0.000057
1882,0.000000,0.000027
1883,0.000000,0.000037
1884,0.000000,0.000066
1885,0.000000,0.000071
1886,0.000000,0.000059
1887,0.000000,0.000053
1888,0.000000,0.000047
1889,0.000000,0.000066
1890,0.000000,0.000086
1891,0.000000,0.000052
1892,0.000000,0.000093
1893,0.000000,0.000083
1894,0.000000,0.000056
1895,0.000000,0.000040
1896,0.000000,0.000053
1897,0.000000,0.000075
1898,0.000000,0.000052
1899,0.000000,0.000077
1900,0.000000,0.000080
1901,0.000000,0.000084
1902,0.000000,0.000109
1903,0.000000,0.000081
1904,0.000000,0.000072
1905,0.000000,0.000085
1906,0.000000,0.000065
1907,0.000000,0.000110
1908,0.000000,0.000100
1909,0.000000,0.000067
1910,0.000000,0.000096
1911,0.000000,0.000085
1912,0.000000,0.000143
1913,0.000000,0.000145
1914,0.000000,0.000136
1915,0.000000,0.000141
1916,0.000000,0.000145
1917,0.000000,0.000141
1918,0.000000,0.000140
1919,0.000002,0.000128
1920,0.000000,0.000130
1921,0.000000,0.000114
1922,0.000000,0.000119
1923,0.000000,0.000095
1924,0.000000,0.000102
1925,0.000000,0.000096
1926,0.000000,0.000100
1927,0.000000,0.000089
1928,0.000000,0.000068
1929,0.000003,0.000081
1930,0.000000,0.000078
1931,0.000000,0.000068
1932,0.000000,0.000064
1933,0.000000,0.000060
1934,0.000000,0.000062
1935,0.000000,0.000061
1936,0.000000,0.000050
1937,0.000000,0.000047
1938,0.000000,0.000042
1939,0.000000,0.000039
1940,0.000000,0.000043
1941,0.000000,0.000036
1942,0.000000,0.000044
1943,0.000000,0.000034
1944,0.000000,0.000030
1945,0.000000,0.000031
1946,0.000000,0.000025
1947,0.000000,0.000020
1948,0.000000,0.000020
1949,0.000000,0.000018
1950,0.000000,0.000016
1951,0.000000,0.000017
1952,0.000000,0.000014
1953,0.000000,0.000012
1954,0.000000,0.000012
1955,0.000000,0.000014
1956,0.000000,0.000009
1957,0.000000,0.000008
1958,0.000000,0.000008
1959,0.000000,0.000008
1960,0.000000,0.000010
1961,0.000000,0.000006
1962,0.000000,0.000004
1963,0.000000,0.000005
1964,0.000000,0.000006
1965,0.000000,0.000007
1966,0.000000,0.000005
1967,0.000000,0.000004
1968,0.000000,0.000003
1969,0.000000,0.000005
1970,0.000000,0.000005
1971,0.000000,0.000005
1972,0.000000,0.000003
1973,0.000000,0.000004
1974,0.000000,0.000003
1975,0.000000,0.000002
1976,0.000000,0.000004
1977,0.000000,0.000003
1978,0.000000,0.000002
1979,0.000000,0.000002
1980,0.000000,0.000002
1981,0.000000,0.000001
1982,0.000000,0.000000
1983,0.000000,0.000001
1984,0.000000,0.000001
1985,0.000000,0.000002
1986,0.000000,0.000000
1987,0.000000,0.000002
1988,0.000000,0.000000
1989,0.000000,0.000000
1990,0.000000,0.000000
1991,0.000000,0.000002
1992,0.000000,0.000002
1993,0.000000,0.000001
1994,0.000000,0.000000
1995,0.000000,0.000002
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
