year,Omar (F),Omar (M)
1880,0.000000,0.000069
1881,0.000000,0.000057
1882,0.000000,0.000050
1883,0.000000,0.000060
1884,0.000000,0.000025
1885,0.000000,0.000062
1886,0.000000,0.000055
1887,0.000000,0.000040
1888,0.000000,0.000063
1889,0.000000,0.000038
1890,0.000000,0.000053
1891,0.000000,0.000017
1892,0.000000,0.000048
1893,0.000000,0.000043
1894,0.000000,0.000030
1895,0.000000,0.000063
1896,0.000000,0.000031
1897,0.000000,0.000055
1898,0.000000,0.000031
1899,0.000000,0.000050
1900,0.000000,0.000022
1901,0.000000,0.000023
1902,0.000000,0.000021
1903,0.000000,0.000039
1904,0.000000,0.000020
1905,0.000000,0.000038
1906,0.000000,0.000028
1907,0.000000,0.000032
1908,0.000000,0.000020
1909,0.000000,0.000027
1910,0.000000,0.000022
1911,0.000000,0.000033
1912,0.000000,0.000045
1913,0.000000,0.000046
1914,0.000000,0.000042
1915,0.000000,0.000038
1916,0.000000,0.000048
1917,0.000000,0.000040
1918,0.000000,0.000050
1919,0.000000,0.000055
1920,0.000000,0.000039
1921,0.000000,0.000041
1922,0.000000,0.000035
1923,0.000000,0.000035
1924,0.000000,0.000036
1925,0.000000,0.000039
1926,0.000000,0.000031
1927,0.000000,0.000034
1928,0.000000,0.000035
1929,0.000003,0.000029
1930,0.000000,0.000029
1931,0.000000,0.000022
1932,0.000000,0.000032
1933,0.000000,0.000031
1934,0.000000,0.000024
1935,0.000000,0.000029
1936,0.000000,0.000021
1937,0.000000,0.000024
1938,0.000000,0.000016
1939,0.000000,0.000017
1940,0.000000,0.000019
1941,0.000000,0.000020
1942,0.000002,0.000015
1943,0.000000,0.000015
1944,0.000000,0.000017
1945,0.000000,0.000018
1946,0.000000,0.000016
1947,0.000000,0.000013
1948,0.000000,0.000016
1949,0.000000,0.000018
1950,0.000000,0.000018
1951,0.000000,0.000017
1952,0.000000,0.000017
1953,0.000000,0.000018
1954,0.000000,0.000020
1955,0.000000,0.000017
1956,0.000000,0.000020
1957,0.000000,0.000018
1958,0.000000,0.000020
1959,0.000000,0.000022
1960,0.000000,0.000024
1961,0.000000,0.000028
1962,0.000000,0.000028
1963,0.000000,0.000030
1964,0.000000,0.000036
1965,0.000000,0.000042
1966,0.000000,0.000058
1967,0.000002,0.000072
1968,0.000000,0.000094
1969,0.000000,0.000129
1970,0.000002,0.000153
1971,0.000003,0.000157
1972,0.000000,0.000205
1973,0.000004,0.000261
1974,0.000003,0.000266
1975,0.000005,0.000295
1976,0.000005,0.000375
1977,0.000005,0.000385
1978,0.000004,0.000407
1979,0.000005,0.000414
1980,0.000004,0.000420
1981,0.000005,0.000415
1982,0.000003,0.000395
1983,0.000003,0.000367
1984,0.000003,0.000365
1985,0.000002,0.000340
1986,0.000005,0.000367
1987,0.000004,0.000357
1988,0.000003,0.000386
1989,0.000004,0.000424
1990,0.000003,0.000499
1991,0.000004,0.000548
1992,0.000005,0.000600
1993,0.000003,0.000650
1994,0.000005,0.000650
1995,0.000005,0.000685
1996,0.000002,0.000690
1997,0.000002,0.000631
1998,0.000000,0.000667
1999,0.000002,0.000723
2000,0.000002,0.000711
2001,0.000002,0.000728
2002,0.000002,0.000702
2003,0.000002,0.000711
2004,0.000003,0.000713
2005,0.000000,0.000772
2006,0.000002,0.000786
2007,0.000002,0.000805
2008,0.000001,0.000729
2009,0.000000,0.000669
2010,0.000001,0.000588
2011,0.000000,0.000517
2012,0.000000,0.000526
