year,Ole
1880,29
1881,42
1882,36
1883,35
1884,30
1885,31
1886,28
1887,19
1888,40
1889,20
1890,24
1891,14
1892,16
1893,14
1894,19
1895,20
1896,19
1897,15
1898,13
1899,11
1900,17
1901,17
1902,15
1903,17
1904,9
1905,9
1906,6
1907,10
1908,9
1909,13
1910,8
1911,11
1912,24
1913,26
1914,30
1915,41
1916,27
1917,38
1918,40
1919,35
1920,31
1921,23
1922,27
1923,13
1924,20
1925,20
1926,21
1927,28
1928,13
1929,20
1930,28
1931,8
1932,15
1933,16
1934,15
1935,16
1936,17
1937,15
1938,10
1939,11
1940,10
1941,11
1942,11
1943,12
1944,12
1945,10
1946,15
1947,9
1948,11
1949,15
1950,10
1951,20
1952,19
1953,6
1954,18
1955,20
1956,16
1957,10
1958,16
1959,9
1960,10
1961,15
1962,10
1963,14
1964,7
1965,12
1966,7
1967,10
1968,14
1969,7
1970,11
1971,14
1972,0
1973,10
1974,9
1975,12
1976,9
1977,10
1978,10
1979,7
1980,8
1981,8
1982,11
1983,0
1984,0
1985,0
1986,8
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,7
1995,0
1996,0
1997,0
1998,0
1999,7
2000,10
2001,11
2002,0
2003,8
2004,8
2005,9
2006,6
2007,9
2008,6
2009,8
2010,12
2011,6
2012,8
