year,Orin
1880,20
1881,9
1882,15
1883,18
1884,19
1885,20
1886,9
1887,15
1888,12
1889,16
1890,7
1891,10
1892,14
1893,13
1894,11
1895,7
1896,13
1897,19
1898,15
1899,6
1900,12
1901,10
1902,11
1903,12
1904,12
1905,19
1906,24
1907,15
1908,15
1909,17
1910,16
1911,22
1912,41
1913,47
1914,57
1915,83
1916,100
1917,88
1918,94
1919,87
1920,111
1921,100
1922,79
1923,86
1924,96
1925,79
1926,82
1927,53
1928,56
1929,69
1930,72
1931,54
1932,65
1933,44
1934,52
1935,50
1936,42
1937,50
1938,49
1939,46
1940,47
1941,52
1942,65
1943,47
1944,51
1945,37
1946,54
1947,53
1948,48
1949,37
1950,46
1951,51
1952,44
1953,48
1954,28
1955,37
1956,38
1957,40
1958,32
1959,28
1960,22
1961,31
1962,34
1963,22
1964,27
1965,29
1966,34
1967,40
1968,39
1969,34
1970,50
1971,40
1972,36
1973,29
1974,32
1975,40
1976,39
1977,24
1978,27
1979,41
1980,30
1981,37
1982,37
1983,40
1984,33
1985,32
1986,39
1987,34
1988,35
1989,49
1990,42
1991,28
1992,40
1993,36
1994,32
1995,21
1996,21
1997,28
1998,36
1999,21
2000,36
2001,37
2002,42
2003,28
2004,40
2005,34
2006,38
2007,54
2008,53
2009,66
2010,55
2011,55
2012,85
