year,Olga (F),Olga (M)
1880,0.000248,0.000000
1881,0.000161,0.000000
1882,0.000289,0.000000
1883,0.000373,0.000000
1884,0.000407,0.000000
1885,0.000502,0.000000
1886,0.000591,0.000000
1887,0.000618,0.000000
1888,0.000574,0.000000
1889,0.000671,0.000000
1890,0.000747,0.000000
1891,0.000827,0.000000
1892,0.000900,0.000000
1893,0.000806,0.000000
1894,0.000895,0.000000
1895,0.000937,0.000000
1896,0.000993,0.000000
1897,0.001049,0.000000
1898,0.000862,0.000000
1899,0.000861,0.000000
1900,0.000835,0.000000
1901,0.000789,0.000000
1902,0.000830,0.000000
1903,0.000737,0.000000
1904,0.000739,0.000000
1905,0.000679,0.000000
1906,0.000740,0.000000
1907,0.000675,0.000000
1908,0.000706,0.000000
1909,0.000702,0.000000
1910,0.000645,0.000000
1911,0.000759,0.000000
1912,0.000704,0.000000
1913,0.000712,0.000000
1914,0.000782,0.000005
1915,0.000836,0.000003
1916,0.000871,0.000003
1917,0.000825,0.000000
1918,0.000779,0.000000
1919,0.000799,0.000000
1920,0.000703,0.000002
1921,0.000673,0.000000
1922,0.000671,0.000003
1923,0.000593,0.000003
1924,0.000614,0.000002
1925,0.000503,0.000000
1926,0.000504,0.000000
1927,0.000475,0.000003
1928,0.000413,0.000004
1929,0.000409,0.000005
1930,0.000348,0.000003
1931,0.000320,0.000002
1932,0.000290,0.000000
1933,0.000256,0.000000
1934,0.000232,0.000004
1935,0.000184,0.000003
1936,0.000187,0.000000
1937,0.000170,0.000002
1938,0.000175,0.000002
1939,0.000162,0.000003
1940,0.000145,0.000000
1941,0.000137,0.000002
1942,0.000127,0.000003
1943,0.000127,0.000000
1944,0.000131,0.000000
1945,0.000118,0.000000
1946,0.000137,0.000000
1947,0.000134,0.000001
1948,0.000165,0.000001
1949,0.000141,0.000000
1950,0.000154,0.000000
1951,0.000159,0.000000
1952,0.000155,0.000000
1953,0.000149,0.000000
1954,0.000157,0.000000
1955,0.000150,0.000000
1956,0.000132,0.000000
1957,0.000134,0.000000
1958,0.000118,0.000000
1959,0.000132,0.000000
1960,0.000146,0.000000
1961,0.000133,0.000001
1962,0.000135,0.000001
1963,0.000125,0.000000
1964,0.000122,0.000000
1965,0.000108,0.000001
1966,0.000117,0.000000
1967,0.000124,0.000000
1968,0.000132,0.000000
1969,0.000113,0.000001
1970,0.000108,0.000000
1971,0.000122,0.000000
1972,0.000115,0.000000
1973,0.000132,0.000003
1974,0.000132,0.000002
1975,0.000121,0.000000
1976,0.000121,0.000000
1977,0.000100,0.000002
1978,0.000098,0.000000
1979,0.000087,0.000000
1980,0.000094,0.000000
1981,0.000091,0.000000
1982,0.000082,0.000000
1983,0.000075,0.000000
1984,0.000073,0.000000
1985,0.000070,0.000000
1986,0.000065,0.000001
1987,0.000064,0.000001
1988,0.000069,0.000001
1989,0.000069,0.000001
1990,0.000065,0.000001
1991,0.000061,0.000000
1992,0.000063,0.000000
1993,0.000064,0.000000
1994,0.000065,0.000000
1995,0.000048,0.000000
1996,0.000054,0.000000
1997,0.000045,0.000000
1998,0.000043,0.000000
1999,0.000053,0.000000
2000,0.000042,0.000000
2001,0.000048,0.000000
2002,0.000041,0.000000
2003,0.000036,0.000000
2004,0.000036,0.000000
2005,0.000034,0.000000
2006,0.000031,0.000000
2007,0.000028,0.000000
2008,0.000034,0.000000
2009,0.000031,0.000000
2010,0.000016,0.000000
2011,0.000017,0.000000
2012,0.000024,0.000000
2013,0.000015,0.000000
2014,0.000021,0.000000
2015,0.000017,0.000000
2016,0.000013,0.000000
2017,0.000016,0.000000
2018,0.000015,0.000000
2019,0.000014,0.000000
2020,0.000016,0.000000
