year,Oneil
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,11
1913,6
1914,10
1915,25
1916,11
1917,18
1918,24
1919,17
1920,23
1921,18
1922,26
1923,33
1924,43
1925,29
1926,13
1927,25
1928,26
1929,33
1930,17
1931,24
1932,24
1933,20
1934,15
1935,22
1936,13
1937,14
1938,22
1939,14
1940,21
1941,16
1942,15
1943,18
1944,8
1945,18
1946,20
1947,23
1948,16
1949,16
1950,17
1951,13
1952,21
1953,13
1954,11
1955,17
1956,11
1957,8
1958,18
1959,13
1960,8
1961,16
1962,8
1963,12
1964,0
1965,8
1966,9
1967,12
1968,0
1969,12
1970,8
1971,8
1972,6
1973,0
1974,7
1975,9
1976,6
1977,9
1978,13
1979,17
1980,20
1981,10
1982,8
1983,13
1984,9
1985,12
1986,23
1987,19
1988,16
1989,19
1990,20
1991,15
1992,23
1993,28
1994,15
1995,27
1996,26
1997,11
1998,20
1999,13
2000,19
2001,22
2002,17
2003,18
2004,22
2005,16
2006,20
2007,24
2008,17
2009,14
2010,13
2011,13
2012,22
