year,Oswald
1880,9
1881,6
1882,11
1883,10
1884,13
1885,5
1886,16
1887,8
1888,11
1889,12
1890,12
1891,5
1892,11
1893,9
1894,13
1895,13
1896,13
1897,18
1898,10
1899,11
1900,9
1901,15
1902,11
1903,9
1904,9
1905,13
1906,15
1907,19
1908,16
1909,25
1910,29
1911,29
1912,54
1913,64
1914,86
1915,92
1916,107
1917,94
1918,105
1919,90
1920,80
1921,86
1922,80
1923,83
1924,100
1925,84
1926,70
1927,67
1928,62
1929,52
1930,70
1931,52
1932,53
1933,46
1934,29
1935,33
1936,26
1937,27
1938,24
1939,14
1940,18
1941,24
1942,25
1943,17
1944,20
1945,38
1946,18
1947,25
1948,31
1949,26
1950,25
1951,29
1952,24
1953,37
1954,40
1955,21
1956,27
1957,18
1958,30
1959,24
1960,28
1961,27
1962,28
1963,24
1964,18
1965,19
1966,23
1967,10
1968,19
1969,22
1970,27
1971,28
1972,20
1973,19
1974,32
1975,16
1976,16
1977,17
1978,22
1979,14
1980,19
1981,16
1982,22
1983,25
1984,30
1985,21
1986,20
1987,15
1988,18
1989,22
1990,24
1991,22
1992,19
1993,23
1994,17
1995,16
1996,10
1997,18
1998,16
1999,18
2000,20
2001,24
2002,9
2003,23
2004,25
2005,17
2006,18
2007,20
2008,14
2009,19
2010,21
2011,18
2012,14
