year,Onita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,6
1900,0
1901,0
1902,6
1903,0
1904,0
1905,0
1906,0
1907,9
1908,0
1909,9
1910,0
1911,7
1912,9
1913,8
1914,10
1915,15
1916,15
1917,20
1918,18
1919,25
1920,27
1921,27
1922,14
1923,28
1924,29
1925,34
1926,23
1927,29
1928,31
1929,24
1930,16
1931,22
1932,19
1933,17
1934,25
1935,22
1936,21
1937,26
1938,17
1939,22
1940,19
1941,19
1942,15
1943,10
1944,13
1945,14
1946,12
1947,14
1948,14
1949,21
1950,13
1951,16
1952,13
1953,17
1954,19
1955,23
1956,20
1957,16
1958,18
1959,10
1960,15
1961,10
1962,19
1963,14
1964,12
1965,12
1966,10
1967,13
1968,5
1969,14
1970,16
1971,10
1972,7
1973,5
1974,7
1975,8
1976,5
1977,6
1978,7
1979,7
1980,0
1981,14
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
