year,Octavio (F),Octavio (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000012
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000008
1912,0.000000,0.000000
1913,0.000000,0.000009
1914,0.000000,0.000006
1915,0.000000,0.000004
1916,0.000000,0.000005
1917,0.000000,0.000006
1918,0.000000,0.000006
1919,0.000000,0.000004
1920,0.000000,0.000006
1921,0.000000,0.000006
1922,0.000000,0.000005
1923,0.000000,0.000008
1924,0.000000,0.000008
1925,0.000000,0.000009
1926,0.000000,0.000010
1927,0.000000,0.000010
1928,0.000000,0.000011
1929,0.000000,0.000012
1930,0.000000,0.000015
1931,0.000000,0.000010
1932,0.000000,0.000011
1933,0.000000,0.000008
1934,0.000000,0.000013
1935,0.000000,0.000010
1936,0.000000,0.000010
1937,0.000000,0.000008
1938,0.000000,0.000008
1939,0.000000,0.000008
1940,0.000000,0.000006
1941,0.000000,0.000005
1942,0.000000,0.000009
1943,0.000000,0.000007
1944,0.000000,0.000005
1945,0.000000,0.000011
1946,0.000000,0.000007
1947,0.000000,0.000007
1948,0.000000,0.000006
1949,0.000000,0.000008
1950,0.000000,0.000007
1951,0.000000,0.000010
1952,0.000000,0.000007
1953,0.000000,0.000010
1954,0.000000,0.000008
1955,0.000000,0.000007
1956,0.000000,0.000009
1957,0.000000,0.000011
1958,0.000000,0.000007
1959,0.000000,0.000010
1960,0.000000,0.000012
1961,0.000000,0.000010
1962,0.000000,0.000011
1963,0.000000,0.000013
1964,0.000000,0.000013
1965,0.000000,0.000014
1966,0.000000,0.000013
1967,0.000000,0.000019
1968,0.000000,0.000016
1969,0.000000,0.000018
1970,0.000000,0.000019
1971,0.000000,0.000018
1972,0.000000,0.000024
1973,0.000000,0.000034
1974,0.000000,0.000035
1975,0.000000,0.000042
1976,0.000000,0.000044
1977,0.000000,0.000037
1978,0.000000,0.000036
1979,0.000000,0.000035
1980,0.000000,0.000041
1981,0.000000,0.000049
1982,0.000000,0.000035
1983,0.000000,0.000032
1984,0.000000,0.000037
1985,0.000000,0.000034
1986,0.000001,0.000036
1987,0.000000,0.000046
1988,0.000000,0.000039
1989,0.000000,0.000044
1990,0.000000,0.000054
1991,0.000000,0.000055
1992,0.000000,0.000055
1993,0.000000,0.000054
1994,0.000000,0.000050
1995,0.000000,0.000060
1996,0.000000,0.000071
1997,0.000000,0.000055
1998,0.000000,0.000052
1999,0.000000,0.000068
2000,0.000000,0.000069
2001,0.000000,0.000060
2002,0.000000,0.000071
2003,0.000000,0.000115
2004,0.000000,0.000082
2005,0.000000,0.000084
2006,0.000000,0.000086
2007,0.000000,0.000061
2008,0.000000,0.000062
2009,0.000000,0.000058
2010,0.000000,0.000059
2011,0.000000,0.000040
2012,0.000000,0.000043
