year,Orelia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,9
1888,5
1889,0
1890,0
1891,0
1892,6
1893,10
1894,8
1895,9
1896,6
1897,9
1898,5
1899,9
1900,6
1901,10
1902,6
1903,7
1904,12
1905,11
1906,12
1907,11
1908,7
1909,8
1910,11
1911,10
1912,9
1913,7
1914,17
1915,18
1916,21
1917,26
1918,20
1919,14
1920,27
1921,22
1922,23
1923,15
1924,19
1925,14
1926,17
1927,11
1928,24
1929,19
1930,11
1931,11
1932,11
1933,14
1934,12
1935,16
1936,16
1937,14
1938,15
1939,10
1940,11
1941,12
1942,7
1943,13
1944,12
1945,12
1946,9
1947,11
1948,7
1949,10
1950,9
1951,12
1952,12
1953,15
1954,8
1955,7
1956,10
1957,6
1958,7
1959,10
1960,12
1961,5
1962,5
1963,0
1964,7
1965,6
1966,6
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,7
1974,6
1975,0
1976,5
1977,5
1978,5
1979,6
1980,5
1981,0
1982,7
1983,5
1984,0
1985,5
1986,0
1987,6
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
