year,Okey
1880,0
1881,5
1882,13
1883,0
1884,9
1885,9
1886,6
1887,5
1888,5
1889,6
1890,5
1891,6
1892,7
1893,0
1894,11
1895,8
1896,12
1897,7
1898,8
1899,0
1900,5
1901,8
1902,8
1903,9
1904,7
1905,11
1906,10
1907,11
1908,5
1909,10
1910,0
1911,7
1912,8
1913,18
1914,23
1915,20
1916,27
1917,34
1918,23
1919,31
1920,24
1921,32
1922,34
1923,33
1924,25
1925,48
1926,24
1927,35
1928,28
1929,27
1930,34
1931,27
1932,34
1933,21
1934,20
1935,25
1936,36
1937,26
1938,27
1939,17
1940,22
1941,17
1942,12
1943,13
1944,18
1945,21
1946,14
1947,22
1948,19
1949,20
1950,18
1951,15
1952,18
1953,13
1954,16
1955,11
1956,13
1957,18
1958,10
1959,10
1960,9
1961,10
1962,9
1963,9
1964,6
1965,12
1966,6
1967,8
1968,5
1969,11
1970,5
1971,7
1972,7
1973,8
1974,9
1975,8
1976,0
1977,12
1978,6
1979,0
1980,0
1981,0
1982,0
1983,9
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,7
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
