year,Susy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,7
1941,0
1942,8
1943,12
1944,9
1945,0
1946,14
1947,10
1948,11
1949,8
1950,9
1951,11
1952,11
1953,15
1954,13
1955,10
1956,7
1957,19
1958,27
1959,26
1960,28
1961,18
1962,32
1963,26
1964,16
1965,22
1966,19
1967,16
1968,18
1969,22
1970,23
1971,26
1972,17
1973,28
1974,30
1975,25
1976,31
1977,25
1978,18
1979,16
1980,14
1981,22
1982,17
1983,15
1984,14
1985,13
1986,9
1987,9
1988,17
1989,19
1990,25
1991,17
1992,24
1993,13
1994,18
1995,14
1996,11
1997,10
1998,9
1999,14
2000,11
2001,15
2002,10
2003,7
2004,6
2005,9
2006,10
2007,18
2008,17
2009,11
2010,7
2011,5
2012,11
