year,Skip
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,7
1933,0
1934,0
1935,5
1936,0
1937,7
1938,6
1939,6
1940,8
1941,14
1942,13
1943,19
1944,25
1945,28
1946,34
1947,58
1948,46
1949,51
1950,43
1951,72
1952,57
1953,63
1954,53
1955,71
1956,67
1957,66
1958,93
1959,82
1960,105
1961,68
1962,67
1963,54
1964,52
1965,47
1966,31
1967,37
1968,32
1969,25
1970,29
1971,26
1972,29
1973,22
1974,29
1975,26
1976,22
1977,30
1978,21
1979,26
1980,29
1981,32
1982,27
1983,31
1984,15
1985,13
1986,14
1987,5
1988,11
1989,10
1990,7
1991,8
1992,6
1993,6
1994,0
1995,0
1996,6
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,5
