year,Suzann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,9
1927,12
1928,6
1929,13
1930,12
1931,8
1932,15
1933,17
1934,18
1935,22
1936,37
1937,34
1938,34
1939,63
1940,51
1941,52
1942,70
1943,78
1944,77
1945,66
1946,123
1947,129
1948,113
1949,119
1950,116
1951,112
1952,114
1953,110
1954,122
1955,111
1956,114
1957,109
1958,104
1959,88
1960,113
1961,109
1962,95
1963,95
1964,86
1965,89
1966,98
1967,80
1968,82
1969,109
1970,83
1971,73
1972,54
1973,47
1974,46
1975,42
1976,35
1977,45
1978,30
1979,44
1980,31
1981,31
1982,23
1983,24
1984,15
1985,14
1986,15
1987,13
1988,13
1989,20
1990,9
1991,11
1992,11
1993,8
1994,9
1995,10
1996,8
1997,9
1998,0
1999,6
2000,6
2001,6
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
