year,Salli
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,9
1939,8
1940,0
1941,7
1942,6
1943,21
1944,8
1945,10
1946,14
1947,15
1948,27
1949,21
1950,14
1951,19
1952,23
1953,26
1954,22
1955,30
1956,31
1957,22
1958,25
1959,21
1960,9
1961,22
1962,16
1963,28
1964,17
1965,15
1966,12
1967,13
1968,16
1969,24
1970,16
1971,17
1972,9
1973,19
1974,6
1975,9
1976,7
1977,9
1978,8
1979,0
1980,7
1981,0
1982,5
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,6
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
