year,Shenna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,6
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,18
1957,18
1958,15
1959,17
1960,15
1961,21
1962,9
1963,11
1964,18
1965,23
1966,20
1967,18
1968,14
1969,19
1970,19
1971,21
1972,21
1973,20
1974,18
1975,15
1976,19
1977,26
1978,24
1979,25
1980,22
1981,37
1982,101
1983,94
1984,179
1985,141
1986,63
1987,53
1988,42
1989,46
1990,24
1991,17
1992,11
1993,12
1994,0
1995,6
1996,8
1997,5
1998,5
1999,7
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
