year,Shaunna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,5
1950,7
1951,0
1952,6
1953,12
1954,15
1955,11
1956,12
1957,11
1958,17
1959,18
1960,18
1961,36
1962,20
1963,35
1964,41
1965,34
1966,30
1967,37
1968,40
1969,46
1970,65
1971,54
1972,60
1973,62
1974,53
1975,52
1976,59
1977,107
1978,171
1979,168
1980,133
1981,105
1982,139
1983,113
1984,124
1985,103
1986,74
1987,73
1988,63
1989,51
1990,79
1991,54
1992,56
1993,46
1994,44
1995,36
1996,39
1997,27
1998,28
1999,24
2000,32
2001,22
2002,21
2003,21
2004,20
2005,17
2006,16
2007,11
2008,17
2009,9
2010,8
2011,5
2012,7
