year,Syliva
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,6
1917,0
1918,0
1919,0
1920,0
1921,5
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,0
1929,0
1930,0
1931,5
1932,0
1933,0
1934,0
1935,5
1936,0
1937,0
1938,0
1939,7
1940,0
1941,5
1942,5
1943,0
1944,0
1945,0
1946,6
1947,6
1948,5
1949,6
1950,12
1951,0
1952,0
1953,8
1954,10
1955,10
1956,16
1957,16
1958,14
1959,22
1960,23
1961,22
1962,19
1963,14
1964,14
1965,15
1966,14
1967,19
1968,12
1969,15
1970,13
1971,10
1972,8
1973,9
1974,5
1975,8
1976,15
1977,14
1978,8
1979,5
1980,0
1981,9
1982,9
1983,8
1984,6
1985,6
1986,6
1987,6
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
