year,Sydell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,9
1911,5
1912,11
1913,0
1914,12
1915,8
1916,13
1917,11
1918,14
1919,0
1920,11
1921,8
1922,14
1923,5
1924,8
1925,20
1926,19
1927,27
1928,28
1929,55
1930,43
1931,36
1932,44
1933,22
1934,14
1935,11
1936,13
1937,11
1938,10
1939,6
1940,5
1941,13
1942,7
1943,11
1944,8
1945,7
1946,5
1947,8
1948,6
1949,0
1950,6
1951,0
1952,0
1953,0
1954,6
1955,0
1956,0
1957,0
1958,0
1959,0
1960,7
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
