year,Silas (F),Silas (M)
1880,0.000000,0.000486
1881,0.000000,0.000379
1882,0.000000,0.000415
1883,0.000000,0.000355
1884,0.000000,0.000341
1885,0.000000,0.000303
1886,0.000000,0.000302
1887,0.000000,0.000259
1888,0.000000,0.000237
1889,0.000000,0.000232
1890,0.000000,0.000279
1891,0.000000,0.000202
1892,0.000000,0.000266
1893,0.000000,0.000175
1894,0.000000,0.000165
1895,0.000000,0.000194
1896,0.000000,0.000176
1897,0.000000,0.000153
1898,0.000000,0.000126
1899,0.000000,0.000162
1900,0.000000,0.000151
1901,0.000000,0.000107
1902,0.000000,0.000142
1903,0.000000,0.000123
1904,0.000000,0.000126
1905,0.000000,0.000101
1906,0.000000,0.000124
1907,0.000000,0.000097
1908,0.000000,0.000098
1909,0.000000,0.000121
1910,0.000000,0.000108
1911,0.000000,0.000092
1912,0.000000,0.000109
1913,0.000000,0.000111
1914,0.000000,0.000122
1915,0.000000,0.000108
1916,0.000000,0.000098
1917,0.000000,0.000102
1918,0.000000,0.000105
1919,0.000000,0.000096
1920,0.000000,0.000096
1921,0.000000,0.000096
1922,0.000000,0.000093
1923,0.000000,0.000089
1924,0.000002,0.000089
1925,0.000000,0.000094
1926,0.000000,0.000092
1927,0.000000,0.000079
1928,0.000000,0.000074
1929,0.000000,0.000081
1930,0.000000,0.000086
1931,0.000000,0.000080
1932,0.000000,0.000073
1933,0.000000,0.000072
1934,0.000000,0.000068
1935,0.000000,0.000068
1936,0.000000,0.000070
1937,0.000000,0.000051
1938,0.000000,0.000066
1939,0.000000,0.000064
1940,0.000000,0.000052
1941,0.000000,0.000048
1942,0.000000,0.000053
1943,0.000000,0.000048
1944,0.000000,0.000044
1945,0.000000,0.000042
1946,0.000000,0.000044
1947,0.000000,0.000037
1948,0.000000,0.000033
1949,0.000000,0.000040
1950,0.000000,0.000034
1951,0.000000,0.000025
1952,0.000000,0.000027
1953,0.000000,0.000029
1954,0.000000,0.000029
1955,0.000000,0.000022
1956,0.000000,0.000025
1957,0.000000,0.000028
1958,0.000000,0.000025
1959,0.000000,0.000023
1960,0.000000,0.000019
1961,0.000000,0.000021
1962,0.000000,0.000019
1963,0.000000,0.000025
1964,0.000000,0.000018
1965,0.000000,0.000025
1966,0.000000,0.000021
1967,0.000000,0.000015
1968,0.000000,0.000018
1969,0.000000,0.000019
1970,0.000000,0.000019
1971,0.000000,0.000021
1972,0.000000,0.000023
1973,0.000000,0.000031
1974,0.000000,0.000027
1975,0.000000,0.000037
1976,0.000000,0.000033
1977,0.000000,0.000029
1978,0.000000,0.000036
1979,0.000000,0.000034
1980,0.000000,0.000034
1981,0.000000,0.000038
1982,0.000000,0.000032
1983,0.000000,0.000036
1984,0.000000,0.000030
1985,0.000000,0.000033
1986,0.000000,0.000033
1987,0.000000,0.000034
1988,0.000000,0.000031
1989,0.000000,0.000031
1990,0.000000,0.000030
1991,0.000000,0.000034
1992,0.000000,0.000043
1993,0.000000,0.000041
1994,0.000000,0.000041
1995,0.000000,0.000056
1996,0.000000,0.000057
1997,0.000000,0.000063
1998,0.000000,0.000068
1999,0.000000,0.000078
2000,0.000000,0.000087
2001,0.000000,0.000100
2002,0.000000,0.000155
2003,0.000000,0.000148
2004,0.000002,0.000160
2005,0.000000,0.000171
2006,0.000000,0.000202
2007,0.000000,0.000235
2008,0.000000,0.000273
2009,0.000003,0.000360
2010,0.000000,0.000442
2011,0.000000,0.000579
2012,0.000002,0.000683
2013,0.000001,0.000937
2014,0.000001,0.000792
2015,0.000002,0.000862
2016,0.000002,0.000932
2017,0.000004,0.000932
2018,0.000004,0.001001
2019,0.000003,0.001025
2020,0.000003,0.001089
