year,Sandria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,6
1938,0
1939,0
1940,0
1941,14
1942,14
1943,14
1944,17
1945,17
1946,12
1947,26
1948,17
1949,13
1950,19
1951,12
1952,12
1953,12
1954,9
1955,5
1956,7
1957,9
1958,10
1959,14
1960,12
1961,9
1962,12
1963,8
1964,6
1965,7
1966,5
1967,15
1968,8
1969,10
1970,0
1971,11
1972,10
1973,0
1974,7
1975,17
1976,15
1977,7
1978,13
1979,7
1980,12
1981,9
1982,6
1983,6
1984,15
1985,6
1986,8
1987,10
1988,7
1989,6
1990,12
1991,8
1992,10
1993,7
1994,6
1995,6
1996,8
1997,12
1998,9
1999,0
2000,7
2001,6
2002,0
2003,6
2004,6
2005,5
2006,6
2007,5
2008,0
2009,0
2010,6
2011,6
2012,0
