year,Syble
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,6
1897,0
1898,5
1899,5
1900,15
1901,5
1902,12
1903,13
1904,19
1905,16
1906,12
1907,15
1908,18
1909,13
1910,25
1911,24
1912,28
1913,34
1914,45
1915,87
1916,92
1917,73
1918,184
1919,218
1920,225
1921,201
1922,208
1923,194
1924,195
1925,210
1926,192
1927,172
1928,195
1929,141
1930,155
1931,147
1932,144
1933,110
1934,116
1935,128
1936,145
1937,127
1938,128
1939,122
1940,110
1941,81
1942,106
1943,92
1944,80
1945,70
1946,74
1947,76
1948,83
1949,53
1950,46
1951,37
1952,49
1953,28
1954,32
1955,31
1956,25
1957,23
1958,18
1959,15
1960,25
1961,15
1962,24
1963,8
1964,14
1965,8
1966,5
1967,9
1968,9
1969,6
1970,0
1971,6
1972,6
1973,0
1974,0
1975,8
1976,6
1977,6
1978,0
1979,0
1980,8
1981,9
1982,0
1983,5
1984,0
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
