year,Stevan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,9
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,8
1933,5
1934,0
1935,0
1936,7
1937,5
1938,12
1939,11
1940,9
1941,17
1942,20
1943,31
1944,32
1945,33
1946,54
1947,78
1948,76
1949,93
1950,115
1951,119
1952,108
1953,123
1954,109
1955,95
1956,93
1957,75
1958,72
1959,76
1960,59
1961,54
1962,41
1963,56
1964,56
1965,47
1966,40
1967,46
1968,44
1969,70
1970,56
1971,58
1972,43
1973,43
1974,37
1975,42
1976,34
1977,34
1978,41
1979,57
1980,55
1981,44
1982,41
1983,63
1984,39
1985,55
1986,47
1987,51
1988,55
1989,76
1990,65
1991,60
1992,63
1993,72
1994,44
1995,40
1996,45
1997,42
1998,37
1999,46
2000,48
2001,37
2002,34
2003,52
2004,33
2005,35
2006,28
2007,33
2008,27
2009,27
2010,22
2011,29
2012,25
