year,Stevie (F),Stevie (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000002
1920,0.000000,0.000000
1921,0.000000,0.000002
1922,0.000000,0.000002
1923,0.000000,0.000003
1924,0.000000,0.000002
1925,0.000002,0.000000
1926,0.000000,0.000002
1927,0.000000,0.000003
1928,0.000000,0.000000
1929,0.000000,0.000003
1930,0.000000,0.000003
1931,0.000000,0.000004
1932,0.000000,0.000002
1933,0.000000,0.000004
1934,0.000002,0.000004
1935,0.000000,0.000004
1936,0.000000,0.000006
1937,0.000000,0.000005
1938,0.000003,0.000000
1939,0.000002,0.000003
1940,0.000000,0.000005
1941,0.000000,0.000009
1942,0.000003,0.000009
1943,0.000004,0.000009
1944,0.000003,0.000009
1945,0.000002,0.000011
1946,0.000003,0.000011
1947,0.000002,0.000013
1948,0.000003,0.000023
1949,0.000003,0.000032
1950,0.000003,0.000033
1951,0.000002,0.000036
1952,0.000003,0.000052
1953,0.000001,0.000063
1954,0.000003,0.000077
1955,0.000002,0.000089
1956,0.000002,0.000097
1957,0.000002,0.000105
1958,0.000001,0.000098
1959,0.000001,0.000108
1960,0.000000,0.000103
1961,0.000001,0.000089
1962,0.000002,0.000093
1963,0.000002,0.000107
1964,0.000002,0.000105
1965,0.000000,0.000107
1966,0.000002,0.000095
1967,0.000002,0.000100
1968,0.000003,0.000083
1969,0.000000,0.000068
1970,0.000001,0.000079
1971,0.000003,0.000082
1972,0.000000,0.000087
1973,0.000003,0.000063
1974,0.000000,0.000060
1975,0.000002,0.000052
1976,0.000002,0.000048
1977,0.000006,0.000052
1978,0.000011,0.000049
1979,0.000012,0.000044
1980,0.000016,0.000038
1981,0.000017,0.000030
1982,0.000037,0.000040
1983,0.000052,0.000026
1984,0.000057,0.000025
1985,0.000060,0.000033
1986,0.000092,0.000030
1987,0.000094,0.000033
1988,0.000108,0.000026
1989,0.000090,0.000033
1990,0.000087,0.000041
1991,0.000092,0.000046
1992,0.000099,0.000039
1993,0.000085,0.000033
1994,0.000082,0.000027
1995,0.000075,0.000028
1996,0.000064,0.000027
1997,0.000059,0.000028
1998,0.000064,0.000020
1999,0.000048,0.000018
2000,0.000051,0.000015
2001,0.000046,0.000017
2002,0.000044,0.000014
2003,0.000048,0.000013
2004,0.000045,0.000011
2005,0.000044,0.000011
2006,0.000052,0.000012
2007,0.000048,0.000009
2008,0.000045,0.000010
2009,0.000053,0.000009
2010,0.000048,0.000009
2011,0.000053,0.000009
2012,0.000057,0.000012
2013,0.000060,0.000011
2014,0.000076,0.000009
2015,0.000075,0.000010
2016,0.000094,0.000010
2017,0.000116,0.000008
2018,0.000126,0.000008
2019,0.000170,0.000012
2020,0.000230,0.000009
