year,Sylva
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,8
1889,0
1890,5
1891,10
1892,5
1893,5
1894,8
1895,6
1896,6
1897,8
1898,9
1899,11
1900,7
1901,6
1902,10
1903,8
1904,10
1905,12
1906,10
1907,14
1908,5
1909,13
1910,13
1911,15
1912,16
1913,24
1914,21
1915,19
1916,27
1917,19
1918,30
1919,31
1920,37
1921,22
1922,23
1923,20
1924,25
1925,27
1926,18
1927,21
1928,16
1929,13
1930,10
1931,14
1932,12
1933,6
1934,18
1935,19
1936,15
1937,16
1938,20
1939,13
1940,7
1941,9
1942,0
1943,5
1944,7
1945,0
1946,8
1947,12
1948,5
1949,7
1950,0
1951,5
1952,5
1953,5
1954,9
1955,0
1956,0
1957,7
1958,0
1959,0
1960,7
1961,6
1962,0
1963,6
1964,0
1965,0
1966,0
1967,7
1968,0
1969,0
1970,5
1971,0
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,7
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
