year,Shavonne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,10
1957,0
1958,0
1959,6
1960,5
1961,0
1962,0
1963,5
1964,10
1965,22
1966,22
1967,20
1968,12
1969,21
1970,27
1971,27
1972,29
1973,26
1974,36
1975,27
1976,33
1977,62
1978,189
1979,268
1980,220
1981,162
1982,144
1983,147
1984,137
1985,158
1986,113
1987,117
1988,96
1989,94
1990,74
1991,55
1992,76
1993,57
1994,72
1995,36
1996,41
1997,38
1998,29
1999,28
2000,35
2001,17
2002,17
2003,17
2004,11
2005,9
2006,13
2007,18
2008,8
2009,8
2010,6
2011,9
2012,10
