year,Scarlette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,8
1941,12
1942,12
1943,11
1944,5
1945,6
1946,6
1947,5
1948,6
1949,11
1950,6
1951,0
1952,0
1953,0
1954,10
1955,8
1956,11
1957,8
1958,7
1959,8
1960,8
1961,21
1962,16
1963,12
1964,14
1965,19
1966,15
1967,5
1968,21
1969,10
1970,19
1971,7
1972,13
1973,10
1974,6
1975,0
1976,6
1977,8
1978,0
1979,7
1980,7
1981,0
1982,7
1983,9
1984,7
1985,9
1986,15
1987,16
1988,12
1989,16
1990,0
1991,16
1992,12
1993,18
1994,17
1995,14
1996,9
1997,22
1998,17
1999,19
2000,14
2001,31
2002,25
2003,22
2004,41
2005,49
2006,76
2007,109
2008,110
2009,114
2010,207
2011,252
2012,266
