year,Shanda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,10
1947,0
1948,9
1949,7
1950,11
1951,6
1952,9
1953,7
1954,22
1955,24
1956,26
1957,75
1958,48
1959,38
1960,48
1961,65
1962,64
1963,94
1964,98
1965,121
1966,116
1967,147
1968,136
1969,238
1970,274
1971,340
1972,305
1973,376
1974,387
1975,361
1976,356
1977,370
1978,373
1979,328
1980,303
1981,271
1982,236
1983,213
1984,213
1985,213
1986,218
1987,210
1988,159
1989,142
1990,123
1991,115
1992,98
1993,110
1994,97
1995,57
1996,47
1997,42
1998,53
1999,25
2000,35
2001,15
2002,19
2003,8
2004,23
2005,10
2006,15
2007,11
2008,9
2009,5
2010,0
2011,7
2012,0
