year,Sherre
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,6
1940,0
1941,9
1942,7
1943,10
1944,16
1945,9
1946,16
1947,21
1948,15
1949,14
1950,7
1951,9
1952,13
1953,19
1954,41
1955,40
1956,56
1957,47
1958,34
1959,30
1960,29
1961,24
1962,26
1963,23
1964,22
1965,20
1966,12
1967,17
1968,18
1969,15
1970,18
1971,16
1972,10
1973,15
1974,17
1975,16
1976,11
1977,14
1978,15
1979,10
1980,14
1981,5
1982,12
1983,9
1984,10
1985,10
1986,8
1987,8
1988,0
1989,6
1990,8
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
