year,Shirlene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,7
1924,6
1925,0
1926,16
1927,12
1928,13
1929,21
1930,23
1931,32
1932,37
1933,47
1934,55
1935,104
1936,156
1937,115
1938,118
1939,131
1940,110
1941,84
1942,92
1943,89
1944,74
1945,97
1946,111
1947,108
1948,122
1949,135
1950,159
1951,136
1952,133
1953,120
1954,147
1955,124
1956,157
1957,141
1958,124
1959,115
1960,123
1961,118
1962,119
1963,114
1964,121
1965,118
1966,91
1967,83
1968,84
1969,68
1970,58
1971,38
1972,37
1973,23
1974,28
1975,32
1976,23
1977,21
1978,20
1979,21
1980,23
1981,18
1982,17
1983,22
1984,13
1985,12
1986,10
1987,13
1988,9
1989,9
1990,5
1991,19
1992,11
1993,7
1994,6
1995,8
1996,5
1997,0
1998,6
1999,0
2000,0
2001,7
2002,0
2003,5
2004,5
2005,0
2006,0
2007,0
2008,5
2009,0
2010,5
2011,0
2012,0
