year,Sula
1880,9
1881,6
1882,10
1883,7
1884,12
1885,7
1886,10
1887,12
1888,18
1889,17
1890,14
1891,18
1892,16
1893,15
1894,12
1895,12
1896,22
1897,16
1898,17
1899,18
1900,27
1901,19
1902,9
1903,14
1904,15
1905,16
1906,17
1907,22
1908,19
1909,17
1910,15
1911,23
1912,14
1913,27
1914,32
1915,27
1916,28
1917,31
1918,26
1919,28
1920,25
1921,34
1922,22
1923,24
1924,23
1925,28
1926,21
1927,20
1928,9
1929,17
1930,18
1931,12
1932,18
1933,15
1934,21
1935,18
1936,12
1937,16
1938,9
1939,12
1940,11
1941,13
1942,12
1943,16
1944,17
1945,10
1946,19
1947,10
1948,15
1949,13
1950,8
1951,8
1952,0
1953,6
1954,0
1955,0
1956,0
1957,0
1958,7
1959,10
1960,5
1961,6
1962,0
1963,0
1964,0
1965,0
1966,0
1967,5
1968,6
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,5
2005,6
2006,0
2007,0
2008,0
2009,8
2010,0
2011,6
2012,8
