year,Suzana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,0
1948,0
1949,0
1950,0
1951,0
1952,6
1953,0
1954,5
1955,5
1956,0
1957,6
1958,6
1959,6
1960,6
1961,12
1962,12
1963,11
1964,9
1965,0
1966,10
1967,10
1968,10
1969,6
1970,16
1971,24
1972,33
1973,34
1974,23
1975,39
1976,29
1977,30
1978,26
1979,43
1980,31
1981,28
1982,23
1983,22
1984,31
1985,19
1986,28
1987,20
1988,18
1989,31
1990,23
1991,29
1992,18
1993,20
1994,19
1995,25
1996,25
1997,19
1998,9
1999,22
2000,22
2001,15
2002,15
2003,12
2004,18
2005,17
2006,22
2007,0
2008,20
2009,19
2010,11
2011,12
2012,15
