year,Shantell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,6
1964,12
1965,10
1966,13
1967,14
1968,54
1969,76
1970,75
1971,90
1972,111
1973,132
1974,154
1975,148
1976,148
1977,144
1978,137
1979,155
1980,158
1981,144
1982,153
1983,150
1984,186
1985,154
1986,176
1987,196
1988,189
1989,192
1990,185
1991,180
1992,177
1993,139
1994,143
1995,129
1996,115
1997,94
1998,84
1999,89
2000,89
2001,55
2002,57
2003,45
2004,40
2005,35
2006,52
2007,31
2008,32
2009,21
2010,21
2011,25
2012,15
