year,Shakira
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,12
1971,7
1972,20
1973,74
1974,67
1975,62
1976,116
1977,120
1978,106
1979,98
1980,98
1981,116
1982,179
1983,147
1984,139
1985,133
1986,136
1987,184
1988,156
1989,181
1990,219
1991,257
1992,285
1993,260
1994,280
1995,263
1996,347
1997,382
1998,247
1999,256
2000,263
2001,269
2002,511
2003,337
2004,190
2005,220
2006,352
2007,244
2008,134
2009,152
2010,124
2011,81
2012,55
