year,Stephania
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,8
1899,10
1900,0
1901,0
1902,9
1903,7
1904,9
1905,10
1906,10
1907,15
1908,10
1909,11
1910,21
1911,17
1912,29
1913,33
1914,51
1915,65
1916,85
1917,69
1918,75
1919,69
1920,75
1921,51
1922,45
1923,36
1924,38
1925,17
1926,18
1927,22
1928,24
1929,14
1930,7
1931,8
1932,8
1933,5
1934,0
1935,5
1936,0
1937,0
1938,0
1939,0
1940,0
1941,6
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,10
1949,17
1950,17
1951,9
1952,10
1953,15
1954,13
1955,9
1956,11
1957,10
1958,9
1959,12
1960,13
1961,20
1962,8
1963,13
1964,14
1965,21
1966,28
1967,29
1968,33
1969,40
1970,52
1971,45
1972,59
1973,41
1974,41
1975,44
1976,27
1977,21
1978,32
1979,20
1980,26
1981,28
1982,33
1983,21
1984,29
1985,27
1986,37
1987,32
1988,46
1989,27
1990,30
1991,49
1992,56
1993,52
1994,26
1995,33
1996,64
1997,34
1998,44
1999,59
2000,46
2001,55
2002,42
2003,51
2004,46
2005,55
2006,41
2007,40
2008,31
2009,33
2010,38
2011,32
2012,42
