year,Sarkis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,6
1916,5
1917,5
1918,0
1919,0
1920,5
1921,10
1922,19
1923,19
1924,16
1925,12
1926,9
1927,6
1928,10
1929,9
1930,11
1931,8
1932,5
1933,5
1934,6
1935,7
1936,5
1937,0
1938,0
1939,5
1940,0
1941,5
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,7
1955,0
1956,0
1957,0
1958,0
1959,0
1960,8
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,7
1975,0
1976,0
1977,5
1978,5
1979,14
1980,6
1981,13
1982,14
1983,10
1984,15
1985,15
1986,11
1987,16
1988,20
1989,18
1990,24
1991,20
1992,27
1993,23
1994,26
1995,23
1996,17
1997,17
1998,22
1999,17
2000,24
2001,11
2002,27
2003,11
2004,15
2005,13
2006,14
2007,19
2008,13
2009,20
2010,7
2011,13
2012,25
