year,Sueanne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,7
1938,5
1939,5
1940,0
1941,0
1942,6
1943,5
1944,0
1945,10
1946,8
1947,17
1948,10
1949,12
1950,12
1951,10
1952,6
1953,12
1954,10
1955,14
1956,7
1957,9
1958,19
1959,16
1960,12
1961,9
1962,11
1963,13
1964,19
1965,16
1966,14
1967,11
1968,0
1969,13
1970,14
1971,12
1972,17
1973,9
1974,6
1975,5
1976,7
1977,8
1978,6
1979,8
1980,11
1981,7
1982,6
1983,0
1984,0
1985,5
1986,0
1987,0
1988,6
1989,0
1990,7
1991,5
1992,0
1993,5
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
