year,Sharee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,5
1933,0
1934,0
1935,0
1936,6
1937,5
1938,0
1939,10
1940,0
1941,15
1942,15
1943,12
1944,7
1945,9
1946,15
1947,18
1948,22
1949,15
1950,24
1951,15
1952,20
1953,22
1954,44
1955,35
1956,58
1957,62
1958,42
1959,55
1960,54
1961,35
1962,42
1963,44
1964,25
1965,47
1966,45
1967,44
1968,62
1969,59
1970,69
1971,64
1972,62
1973,97
1974,74
1975,96
1976,78
1977,84
1978,124
1979,159
1980,114
1981,128
1982,122
1983,125
1984,123
1985,135
1986,122
1987,128
1988,108
1989,110
1990,117
1991,95
1992,92
1993,60
1994,56
1995,43
1996,33
1997,41
1998,17
1999,23
2000,18
2001,19
2002,19
2003,13
2004,12
2005,15
2006,12
2007,13
2008,7
2009,14
2010,17
2011,8
2012,12
