year,Sallye
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,5
1891,0
1892,0
1893,8
1894,0
1895,0
1896,5
1897,5
1898,0
1899,6
1900,0
1901,5
1902,0
1903,0
1904,0
1905,5
1906,0
1907,5
1908,9
1909,9
1910,11
1911,6
1912,13
1913,5
1914,12
1915,19
1916,12
1917,8
1918,17
1919,11
1920,12
1921,14
1922,14
1923,13
1924,15
1925,18
1926,17
1927,11
1928,24
1929,12
1930,21
1931,21
1932,23
1933,25
1934,26
1935,19
1936,22
1937,15
1938,25
1939,27
1940,24
1941,22
1942,33
1943,20
1944,23
1945,27
1946,25
1947,22
1948,27
1949,26
1950,18
1951,18
1952,25
1953,19
1954,17
1955,16
1956,13
1957,14
1958,15
1959,10
1960,8
1961,8
1962,11
1963,11
1964,9
1965,12
1966,0
1967,6
1968,0
1969,0
1970,6
1971,0
1972,6
1973,0
1974,8
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,6
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
