year,Sona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,6
1925,0
1926,5
1927,7
1928,8
1929,11
1930,7
1931,7
1932,7
1933,9
1934,10
1935,7
1936,13
1937,6
1938,11
1939,0
1940,6
1941,9
1942,8
1943,7
1944,7
1945,7
1946,11
1947,10
1948,0
1949,6
1950,0
1951,0
1952,7
1953,10
1954,14
1955,14
1956,6
1957,11
1958,8
1959,8
1960,10
1961,11
1962,19
1963,17
1964,21
1965,20
1966,13
1967,10
1968,19
1969,13
1970,25
1971,16
1972,13
1973,13
1974,16
1975,15
1976,19
1977,12
1978,14
1979,13
1980,15
1981,20
1982,13
1983,15
1984,13
1985,13
1986,20
1987,12
1988,17
1989,14
1990,0
1991,12
1992,12
1993,13
1994,13
1995,10
1996,8
1997,9
1998,14
1999,14
2000,13
2001,15
2002,25
2003,23
2004,23
2005,16
2006,10
2007,15
2008,22
2009,26
2010,19
2011,12
2012,23
