year,Sedonia
1880,0
1881,0
1882,0
1883,5
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,6
1893,5
1894,6
1895,9
1896,5
1897,8
1898,5
1899,6
1900,8
1901,0
1902,0
1903,0
1904,10
1905,0
1906,7
1907,7
1908,7
1909,15
1910,7
1911,10
1912,0
1913,12
1914,7
1915,11
1916,17
1917,15
1918,9
1919,10
1920,9
1921,11
1922,12
1923,11
1924,11
1925,10
1926,10
1927,9
1928,9
1929,11
1930,5
1931,10
1932,7
1933,15
1934,18
1935,11
1936,7
1937,5
1938,5
1939,9
1940,8
1941,6
1942,7
1943,0
1944,13
1945,0
1946,9
1947,10
1948,9
1949,9
1950,9
1951,0
1952,0
1953,0
1954,8
1955,6
1956,0
1957,0
1958,0
1959,6
1960,0
1961,0
1962,8
1963,0
1964,0
1965,0
1966,5
1967,6
1968,0
1969,0
1970,0
1971,0
1972,0
1973,5
1974,0
1975,5
1976,0
1977,0
1978,0
1979,0
1980,9
1981,0
1982,5
1983,0
1984,5
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
