year,Shantay
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,11
1962,6
1963,5
1964,0
1965,8
1966,6
1967,14
1968,8
1969,14
1970,11
1971,14
1972,31
1973,19
1974,28
1975,32
1976,31
1977,47
1978,68
1979,45
1980,57
1981,45
1982,48
1983,55
1984,41
1985,59
1986,51
1987,72
1988,54
1989,45
1990,35
1991,48
1992,36
1993,27
1994,28
1995,10
1996,23
1997,14
1998,14
1999,12
2000,12
2001,13
2002,8
2003,18
2004,10
2005,10
2006,9
2007,8
2008,5
2009,0
2010,0
2011,5
2012,0
