year,Shiela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,7
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,0
1918,0
1919,0
1920,6
1921,0
1922,0
1923,0
1924,13
1925,5
1926,7
1927,7
1928,0
1929,12
1930,12
1931,9
1932,11
1933,13
1934,7
1935,23
1936,29
1937,17
1938,19
1939,20
1940,25
1941,41
1942,46
1943,42
1944,40
1945,56
1946,58
1947,79
1948,74
1949,74
1950,75
1951,92
1952,81
1953,92
1954,76
1955,81
1956,99
1957,115
1958,98
1959,131
1960,126
1961,136
1962,127
1963,157
1964,157
1965,145
1966,134
1967,112
1968,129
1969,132
1970,216
1971,139
1972,116
1973,91
1974,72
1975,53
1976,75
1977,53
1978,47
1979,44
1980,39
1981,29
1982,47
1983,24
1984,32
1985,37
1986,30
1987,33
1988,13
1989,16
1990,22
1991,25
1992,21
1993,17
1994,18
1995,8
1996,8
1997,10
1998,0
1999,6
2000,7
2001,8
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
