year,Sebastian (F),Sebastian (M)
1880,0.000000,0.000000
1881,0.000000,0.000031
1882,0.000000,0.000045
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000027
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000021
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000033
1893,0.000000,0.000000
1894,0.000000,0.000015
1895,0.000000,0.000023
1896,0.000000,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000021
1899,0.000000,0.000018
1900,0.000000,0.000000
1901,0.000000,0.000023
1902,0.000000,0.000013
1903,0.000000,0.000029
1904,0.000000,0.000022
1905,0.000000,0.000024
1906,0.000000,0.000012
1907,0.000000,0.000026
1908,0.000000,0.000031
1909,0.000000,0.000027
1910,0.000000,0.000024
1911,0.000000,0.000031
1912,0.000000,0.000052
1913,0.000000,0.000055
1914,0.000000,0.000058
1915,0.000000,0.000061
1916,0.000000,0.000069
1917,0.000000,0.000061
1918,0.000000,0.000053
1919,0.000000,0.000060
1920,0.000000,0.000061
1921,0.000000,0.000056
1922,0.000000,0.000055
1923,0.000000,0.000056
1924,0.000000,0.000058
1925,0.000000,0.000047
1926,0.000000,0.000057
1927,0.000000,0.000045
1928,0.000000,0.000056
1929,0.000000,0.000044
1930,0.000000,0.000051
1931,0.000000,0.000045
1932,0.000000,0.000041
1933,0.000000,0.000038
1934,0.000000,0.000039
1935,0.000000,0.000037
1936,0.000000,0.000031
1937,0.000000,0.000029
1938,0.000000,0.000029
1939,0.000000,0.000024
1940,0.000000,0.000022
1941,0.000000,0.000025
1942,0.000000,0.000028
1943,0.000000,0.000021
1944,0.000000,0.000017
1945,0.000000,0.000018
1946,0.000000,0.000018
1947,0.000000,0.000016
1948,0.000000,0.000020
1949,0.000000,0.000015
1950,0.000000,0.000012
1951,0.000000,0.000012
1952,0.000000,0.000013
1953,0.000000,0.000014
1954,0.000000,0.000012
1955,0.000000,0.000014
1956,0.000000,0.000010
1957,0.000000,0.000012
1958,0.000000,0.000015
1959,0.000000,0.000013
1960,0.000000,0.000017
1961,0.000000,0.000026
1962,0.000000,0.000037
1963,0.000000,0.000028
1964,0.000000,0.000034
1965,0.000000,0.000029
1966,0.000000,0.000029
1967,0.000000,0.000034
1968,0.000000,0.000034
1969,0.000000,0.000033
1970,0.000000,0.000046
1971,0.000000,0.000054
1972,0.000000,0.000048
1973,0.000000,0.000044
1974,0.000000,0.000041
1975,0.000000,0.000042
1976,0.000000,0.000041
1977,0.000000,0.000039
1978,0.000000,0.000045
1979,0.000000,0.000041
1980,0.000001,0.000048
1981,0.000000,0.000050
1982,0.000000,0.000062
1983,0.000000,0.000055
1984,0.000000,0.000069
1985,0.000000,0.000080
1986,0.000000,0.000078
1987,0.000000,0.000098
1988,0.000002,0.000106
1989,0.000001,0.000134
1990,0.000000,0.000201
1991,0.000003,0.000265
1992,0.000002,0.000337
1993,0.000000,0.000347
1994,0.000002,0.000350
1995,0.000003,0.000391
1996,0.000001,0.000436
1997,0.000002,0.000488
1998,0.000002,0.000461
1999,0.000003,0.000644
2000,0.000002,0.001331
2001,0.000003,0.001330
2002,0.000005,0.001374
2003,0.000002,0.001223
2004,0.000007,0.001184
2005,0.000003,0.001289
2006,0.000005,0.001589
2007,0.000003,0.001571
2008,0.000003,0.001538
2009,0.000002,0.001569
2010,0.000002,0.001722
2011,0.000003,0.001793
2012,0.000004,0.001846
2013,0.000002,0.002077
