year,Sandy (F),Sandy (M)
1880,0.000000,0.000089
1881,0.000000,0.000073
1882,0.000000,0.000086
1883,0.000000,0.000106
1884,0.000000,0.000045
1885,0.000000,0.000079
1886,0.000000,0.000106
1887,0.000000,0.000077
1888,0.000000,0.000073
1889,0.000000,0.000066
1890,0.000000,0.000043
1891,0.000000,0.000066
1892,0.000000,0.000075
1893,0.000000,0.000031
1894,0.000000,0.000056
1895,0.000000,0.000057
1896,0.000000,0.000036
1897,0.000000,0.000026
1898,0.000000,0.000045
1899,0.000000,0.000047
1900,0.000000,0.000049
1901,0.000000,0.000038
1902,0.000000,0.000049
1903,0.000000,0.000037
1904,0.000000,0.000050
1905,0.000000,0.000078
1906,0.000000,0.000042
1907,0.000000,0.000058
1908,0.000000,0.000057
1909,0.000000,0.000061
1910,0.000000,0.000059
1911,0.000000,0.000037
1912,0.000000,0.000045
1913,0.000000,0.000039
1914,0.000005,0.000038
1915,0.000004,0.000031
1916,0.000000,0.000025
1917,0.000002,0.000034
1918,0.000003,0.000029
1919,0.000004,0.000035
1920,0.000003,0.000027
1921,0.000000,0.000033
1922,0.000004,0.000030
1923,0.000005,0.000031
1924,0.000004,0.000031
1925,0.000007,0.000031
1926,0.000009,0.000032
1927,0.000007,0.000036
1928,0.000005,0.000032
1929,0.000009,0.000031
1930,0.000006,0.000034
1931,0.000004,0.000034
1932,0.000014,0.000038
1933,0.000016,0.000038
1934,0.000018,0.000038
1935,0.000032,0.000033
1936,0.000030,0.000036
1937,0.000051,0.000037
1938,0.000082,0.000031
1939,0.000118,0.000031
1940,0.000166,0.000039
1941,0.000208,0.000040
1942,0.000248,0.000041
1943,0.000278,0.000051
1944,0.000305,0.000044
1945,0.000326,0.000048
1946,0.000369,0.000055
1947,0.000376,0.000060
1948,0.000270,0.000046
1949,0.000198,0.000054
1950,0.000147,0.000054
1951,0.000125,0.000049
1952,0.000116,0.000055
1953,0.000132,0.000050
1954,0.000163,0.000067
1955,0.000188,0.000058
1956,0.000273,0.000059
1957,0.000451,0.000052
1958,0.000621,0.000053
1959,0.000788,0.000052
1960,0.000878,0.000042
1961,0.000826,0.000060
1962,0.000757,0.000058
1963,0.000708,0.000057
1964,0.000604,0.000050
1965,0.000470,0.000058
1966,0.000483,0.000060
1967,0.000417,0.000054
1968,0.000414,0.000044
1969,0.000357,0.000040
1970,0.000345,0.000035
1971,0.000315,0.000035
1972,0.000336,0.000035
1973,0.000290,0.000029
1974,0.000268,0.000034
1975,0.000278,0.000030
1976,0.000259,0.000030
1977,0.000247,0.000023
1978,0.000231,0.000024
1979,0.000267,0.000018
1980,0.000249,0.000020
1981,0.000232,0.000028
1982,0.000217,0.000021
1983,0.000184,0.000019
1984,0.000201,0.000019
1985,0.000169,0.000021
1986,0.000170,0.000017
1987,0.000158,0.000016
1988,0.000153,0.000018
1989,0.000187,0.000016
1990,0.000176,0.000013
1991,0.000161,0.000010
1992,0.000138,0.000015
1993,0.000130,0.000012
1994,0.000131,0.000008
1995,0.000127,0.000010
1996,0.000111,0.000011
1997,0.000100,0.000009
1998,0.000098,0.000008
1999,0.000089,0.000006
2000,0.000102,0.000006
2001,0.000086,0.000005
2002,0.000085,0.000005
2003,0.000078,0.000005
2004,0.000083,0.000004
2005,0.000076,0.000006
2006,0.000063,0.000004
2007,0.000064,0.000004
2008,0.000058,0.000003
2009,0.000050,0.000003
2010,0.000048,0.000004
2011,0.000030,0.000004
2012,0.000038,0.000004
2013,0.000037,0.000002
