year,Sherrilyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,5
1940,6
1941,9
1942,6
1943,13
1944,16
1945,17
1946,27
1947,31
1948,22
1949,21
1950,22
1951,9
1952,16
1953,20
1954,22
1955,21
1956,22
1957,21
1958,7
1959,18
1960,21
1961,28
1962,37
1963,35
1964,27
1965,16
1966,17
1967,8
1968,11
1969,16
1970,7
1971,11
1972,17
1973,11
1974,10
1975,9
1976,7
1977,6
1978,0
1979,0
1980,0
1981,8
1982,0
1983,5
1984,6
1985,8
1986,6
1987,0
1988,6
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
