year,Shane (F),Shane (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000003
1934,0.000000,0.000004
1935,0.000000,0.000004
1936,0.000000,0.000000
1937,0.000000,0.000004
1938,0.000000,0.000000
1939,0.000000,0.000002
1940,0.000000,0.000003
1941,0.000002,0.000007
1942,0.000002,0.000004
1943,0.000000,0.000006
1944,0.000000,0.000006
1945,0.000000,0.000003
1946,0.000000,0.000004
1947,0.000001,0.000006
1948,0.000004,0.000006
1949,0.000002,0.000008
1950,0.000002,0.000008
1951,0.000003,0.000011
1952,0.000004,0.000010
1953,0.000003,0.000048
1954,0.000005,0.000090
1955,0.000004,0.000076
1956,0.000004,0.000083
1957,0.000003,0.000094
1958,0.000005,0.000100
1959,0.000004,0.000119
1960,0.000004,0.000128
1961,0.000005,0.000141
1962,0.000006,0.000174
1963,0.000004,0.000215
1964,0.000004,0.000233
1965,0.000007,0.000283
1966,0.000012,0.000378
1967,0.000012,0.000582
1968,0.000016,0.000743
1969,0.000024,0.001018
1970,0.000027,0.001235
1971,0.000033,0.001483
1972,0.000065,0.001668
1973,0.000073,0.001892
1974,0.000052,0.001861
1975,0.000036,0.001724
1976,0.000033,0.001680
1977,0.000028,0.001533
1978,0.000026,0.001413
1979,0.000028,0.001347
1980,0.000019,0.001268
1981,0.000024,0.001074
1982,0.000018,0.001008
1983,0.000018,0.000982
1984,0.000017,0.000956
1985,0.000025,0.001275
1986,0.000023,0.001387
1987,0.000022,0.001471
1988,0.000017,0.001400
1989,0.000016,0.001264
1990,0.000018,0.001334
1991,0.000023,0.001311
1992,0.000016,0.001262
1993,0.000016,0.001177
1994,0.000015,0.001099
1995,0.000016,0.000992
1996,0.000014,0.000957
1997,0.000010,0.000915
1998,0.000010,0.000861
1999,0.000009,0.000879
2000,0.000007,0.000866
2001,0.000007,0.000833
2002,0.000009,0.000811
2003,0.000006,0.000740
2004,0.000009,0.000648
2005,0.000009,0.000639
2006,0.000007,0.000575
2007,0.000009,0.000560
2008,0.000007,0.000587
2009,0.000009,0.000558
2010,0.000007,0.000507
2011,0.000007,0.000447
2012,0.000005,0.000403
