year,Saida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,6
1954,7
1955,6
1956,0
1957,0
1958,0
1959,7
1960,9
1961,6
1962,0
1963,5
1964,0
1965,0
1966,7
1967,0
1968,0
1969,8
1970,17
1971,7
1972,9
1973,12
1974,7
1975,14
1976,10
1977,10
1978,8
1979,9
1980,11
1981,18
1982,17
1983,12
1984,10
1985,24
1986,13
1987,16
1988,26
1989,20
1990,22
1991,18
1992,23
1993,23
1994,21
1995,13
1996,32
1997,15
1998,22
1999,34
2000,33
2001,20
2002,39
2003,32
2004,32
2005,32
2006,38
2007,34
2008,42
2009,30
2010,31
2011,27
2012,17
