year,Sharmin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,5
1953,0
1954,0
1955,0
1956,7
1957,5
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,0
1966,7
1967,9
1968,18
1969,23
1970,19
1971,19
1972,13
1973,9
1974,12
1975,14
1976,12
1977,9
1978,8
1979,5
1980,8
1981,6
1982,5
1983,5
1984,5
1985,0
1986,5
1987,12
1988,10
1989,7
1990,9
1991,10
1992,9
1993,10
1994,0
1995,14
1996,8
1997,10
1998,8
1999,7
2000,6
2001,0
2002,10
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
